主基金名稱,基金規模 (台幣)
柏瑞中國A股量化精選基金,590873166
中國信託MSCI中國外資自由投資50不含A及B股單日正向2倍ETF基金,6932352557
中國信託MSCI中國外資自由投資50不含A及B股ETF基金,6346661795
富邦全球智能車基金,554217281
群益15年期以上公用事業公司債ETF 基金,9074906359
群益15年期以上高評等公司債ETF 基金,41267917560
群益15年期以上新興市場主權債ETF基金,39374618747
復華15年期以上製藥業債券ETF基金,2561924616
復華15年期以上能源業債券ETF基金,281408924
復華新興市場企業債券ETF基金,23217560600
統一NYSE FANG+ ETF基金,35655552303
元大全球人工智慧ETF基金,5144096631
合庫AI電動車及車聯網創新基金,1160485441
國泰10年期以上A等級美元公司債券ETF基金,92554095677
台新全球AI新創產業基金,3055812509
群益潛力收益多重資產基金A(累積型-新臺幣) (本子基金,37650993030
群益25年期以上美國政府債券ETF基金,42154377907
富邦AI智能新趨勢多重資產型基金,11876805832
第一金全球AI人工智慧基金,5056659422
復華十年到期新興市場債券基金,7414344171
摩根大歐洲基金,6137128332
復華貨幣市場基金,18503922100
永豐貨幣市場基金,33504174496
宏利臺灣股息收益基金,1537399582
台新大眾貨幣市場基金,56329158914
匯豐台灣精典基金,2000469252
富邦小而美基金,1541771241
第一金小型精選基金,1840313903
景順台灣科技基金,1894780227
摩根中小基金,2729555644
統一奔騰基金,62528252002
玉山科技島基金,6392373835
兆豐電子基金,1287580049
永豐領航科技基金,1442890196
柏瑞巨輪貨幣市場基金,5299519720
玉山大中華基金,2041226379
台新店頭基金,687142901
復華高成長基金,15411034757
復華美國20年期以上公債ETF基金,37494496220
國泰標普北美科技ETF基金,5241641473
元大標普美國高息特別股ETF基金,227268209
中國信託10年期以上高評級美元公司債券ETF基金,110437024998
中國信託10年期以上優先順位金融債券ETF基金,91424799480
台新全方位收益ETF傘型基金之台新富時15年以上特選產業美元投資等級債券ETF基金,7321369168
安聯美國短年期非投資等級債券基金,3908905217
凱基多元收益ETF傘型基金之凱基15年期以上AAA至A級美元公司債券ETF基金,65901693910
凱基多元收益ETF傘型基金之凱基20年期以上美元金融債券ETF基金,51507337026
凱基多元收益ETF傘型基金之凱基25年期以上美國公債ETF基金,35855998471
國泰旗艦產業ETF傘型基金之15年期以上A等級公用事業產業債券基金,593576597
國泰旗艦產業ETF傘型基金之15年期以上A等級科技產業債券基金,228586353
國泰旗艦產業ETF傘型基金之7-10年A等級金融產業債券基金,9249057924
富邦多元收益ⅡETF傘型基金之富邦中國中証中小500ETF基金,193944282
富邦多元收益ⅡETF傘型基金之富邦全球金融業10年以上美元投等債券ETF基金,36678171952
元大10年期以上美元投資級銀行債券ETF基金,686652473
元大10年期以上美元投資級醫療保健債券ETF基金,379910263
元大10年期以上美元投資級公共事業電能債券ETF基金,730006752
復華1至5年期美元特選信用債券ETF基金,16028964473
復華20年期以上A3級以上公司債券ETF基金,21244661521
景順2029到期精選新興債券基金,4755148159
富蘭克林華美新興國家固定收益基金,5241964389
群益15年期以上A級美元公司債ETF基金,70828217352
群益15年期以上AAA-A醫療保健業美元公司債ETF基金,76526404
中國信託美國政府20年期以上債券ETF基金,40225778010
台新優先順位資產抵押非投資等級債券基金,1866541010
國泰大三元ETF傘型基金之15年期以上A等級醫療保健產業債券基金,747953964
國泰大三元ETF傘型基金之美國費城半導體基金,65538935826
第一金彭博美國10年期以上金融債券指數ETF基金,783580766
元大台灣高股息ETF連結基金,5644051775
元大台灣卓越50ETF連結基金,84512150126
元大富櫃50ETF連結基金,245260017
宏利澳洲優選債券收益基金,770993455
永豐10年期以上美元A級公司債券ETF基金,17227079818
東方匯理全球非投資等級債券基金,11821837859
復華十年到期精選新興市場債券基金,1933735636
凱基精選美元債券ETF傘型基金之凱基15年期以上美元投資等級精選公司債券ETF基金,1736240402
凱基精選美元債券ETF傘型基金之凱基20年期以上AAA至AA級大型美元公司債券ETF基金,1979001669
路博邁5G股票基金,13258227462
台新息收傘型基金之台新美元銀行債券15年期以上ETF基金,541045401
兆豐中國內需A股基金,1266521457
第一金美國100大企業債券基金,4979998841
柏瑞新興邊境非投資等級債券基金,748142734
台新首選收益傘型基金之台新15年期(以上)美元金融債券ETF基金,6949888264
台新首選收益傘型基金之台新全球特別股收益基金,106278911
富邦多元收益ⅢETF傘型基金之富邦彭博歐洲區美元7-15年期銀行債ETF基金,2694682640
富邦多元收益ⅢETF傘型基金之富邦中國以外新興市場美元5年以上投資等級債券ETF基金,7921437851
國泰泰享退系列2029目標日期組合基金,6450184849
國泰泰享退系列2049目標日期組合基金,7205602392
國泰泰享退系列2039目標日期組合基金,6071355446
群益全民成長樂退組合基金,10500065934
群益全民安穩樂退組合基金,836120072
群益全民優質樂退組合基金,4405587948
中國信託美國高評級市政債券ETF基金 (本子基金,108448048
中國信託新興市場0-5年期美元政府債券ETF基金 (本子基金有 一定 比重投資於非投資等級之高風險債券 且基金,18375397920
中國信託新興亞洲(不含中國)美元精選綜合債券ETF基金 (本子基金有一定比重投資於非投資等級之高風險債券且基金,4581332246
景順十年到期特選新興債券基金,3593839410
台新SG全球AI機器人精選ETF基金,377135240
元大臺灣ESG永續ETF基金,35578124394
凱基臺灣多元收益多重資產基金,724798395
國泰道瓊工業平均指數單日正向2倍基金,292603311
復華美元非投資等級債券指數基金,5541313647
復華5至10年期投資等級債券指數基金,25375131246
復華已開發國家300股票指數基金,30271524541
統一彭博10年期以上Aa至A級美元優質公司債券ETF基金,4825693802
統一全球智聯網AIoT基金,5023163359
玉山美國投資級企業債券基金,996608883
永豐1至3年期美國公債ETF基金,260704456
永豐20年期以上美國公債ETF基金,11853469708
永豐美國大型500股票ETF基金,4153089888
群益1-5年期投資等級公司債ETF基金,103720891
群益全球策略收益金融債券基金A(累積型-新臺幣) (本子基金,4516302008
群益0-1年期美國政府債券ETF基金,1061561847
凱基收益成長多重資產基金,14612014754
元大全球未來通訊ETF基金,5885993931
第一金全球富裕國家債券基金,439048035
中國信託美國政府0至1年期債券ETF基金,4610550099
中國信託10年期以上電信業美元公司債券ETF基金,15864510621
中國信託20年期以上BBB級美元公司債券ETF基金,27162494721
東方匯理實質收息多重資產基金,4141212649
國泰美國收益傘型基金之美國短期公債ETF基金,13721062176
國泰美國收益傘型基金之美國多重收益平衡基金,7262267986
台新優質收益ETF傘型基金之台新15年期(以上)A-BBB美元電信債券ETF基金,17032177822
柏瑞新興動態多重資產基金,713049438
宏利七年階梯到期新興市場債券基金,359595323
元大15年期以上新興市場主權債ETF基金,15652718066
東方匯理新興市場非投資等級債券基金,1532039627
台新新興富域國家債券基金,250611773
路博邁優質企業債券基金,2414511424
華南永昌低波動多重資產基金,233507924
國泰亞洲非投資等級債券基金,464783664
柏瑞ESG量化債券基金,12597682986
復華美國標普500低波動指數基金,490512875
復華新興亞洲3至10年期美元債券指數基金,1518223343
復華新興市場3年期以上美元主權及類主權債券指數基金,3753699181
匯豐成功基金,532960512
元大台灣高股息優質龍頭基金,83610603771
大華銀七年到期新興市場債券基金,426247756
國泰網路資安ETF基金,700009761
永豐臺灣ESG永續優選基金,505416919
台新新興短期非投資等級債券基金,321624041
統一統信基金,3863469724
元大全球5G關鍵科技ETF基金,7785663010
聯博美國傘型基金之聯博美國多重資產收益基金,18663699062
聯博美國傘型基金之聯博美國成長入息基金,23386643218
中國信託亞太實質收息多重資產基金,109125770
瑞銀優質精選收益基金,609540734
合庫台灣高科技基金,994330099
瀚亞2030目標日期收益優化多重資產基金,256093303
復華中國5G通信ETF基金,5213488672
安聯特別收益多重資產基金,990859328
聯邦高息策略多重資產基金,178804001
街口中小型基金,814580687
台新中國通基金,2315517076
中國信託華盈貨幣市場基金,69505258902
富邦貨幣市場基金,65432740594
統一經建基金,5269572718
元大高科技基金,14819319724
富邦上選基金,6322867346
台新創新科技基金,3718090780
富邦高成長基金,3448639748
復華復華基金,10412051458
台新台灣中小基金,1494751231
群益長安基金,5366569787
永豐永豐基金,2909166797
瀚亞中小型股基金,3065972034
元大經貿基金,4376342287
宏利萬利貨幣市場基金,211986526
富邦科技基金,1462990419
玉山中小型股基金,3734682502
瀚亞威寶貨幣市場基金,10495261244
兆豐台灣先進通訊基金,556965371
國泰台灣高股息傘型基金之台灣ESG永續高股息ETF基金,594163032192
國泰台灣高股息傘型基金之台灣高股息基金,47669438513
大華銀新加坡房地產收益基金,1374159664
瑞銀2026年到期優選新興亞洲債券基金,1648042587
凱基全球ESG永續非投資等級債券基金,659580816
富邦台灣高股息基金,2307572612
中國信託越南機會基金,13108711568
安聯新興債券收益組合基金,8965295752
東方匯理美元核心收益債券基金,3765394260
台新策略優選總回報非投資等級債券基金,1981135402
第一金全球Fitness健康瘦身基金,160528504
第一金全球eSports電競基金,1040039154
景順2030優享樂活退休組合基金,1995345829
宏利實質多重資產基金,996078087
路博邁ESG新興市場債券基金,462500497
大華銀四至六年機動到期全球投資等級債券基金-TWD B (本子基金,361197967
大華銀四至六年機動到期新興市場優質主權債券基金-TWD A (本子基金,1924489375
富蘭克林華美AI新科技基金,13013449201
富邦長照產業收益不動產證券化基金,106366865
柏瑞ESG量化多重資產基金,5038814899
宏利全球非投資等級債券基金,823015101
國泰台灣科技龍頭ETF基金,124170520839
施羅德全週期成長多重資產基金,4696132303
瀚亞三至六年到期新興市場收益機會債券基金,1099115795
兆豐新興市場短期非投資等級債券基金,415250120
台新ESG新興市場債券基金,1983919351
復華台灣好收益基金,4385869299
瀚亞2031目標日期收益成長多重資產基金,512226259
台新恒生科技指數基金,668210720
瑞銀精選債券收益組合基金,204955726
第一金四至六年機動到期全球富裕國家投資級債券基金,745022386
中國信託15年期以上新興市場美元主權低碳債券ETF基金,2175206502
中國信託恒生中國高股息ETF基金 (本子基金之配息來源可能為收益平準金且基金,30451981007
東方匯理美國非投資等級債券基金,582027826
凱基未來世代關鍵收息多重資產基金,1071944262
大華銀亞洲ESG債券基金,261810608
瑞銀2027年到期優選新興市場債券基金,1565732926
永豐中國科技50大ETF基金,6897083848
永豐台灣ESG永續優質ETF基金,21881195002
柏瑞全球策略量化債券基金,2311941514
永豐美國科技ETF基金,200256385
富邦富時越南ETF基金,11145462556
富邦台灣永續成長股息基金,1186476298
凱基環球傘型基金之凱基 15 年期以上美元 BBB 級 ESG 永續公司債券 ETF 基金,577736518
凱基環球趨勢基金,530669423
景順2031年樂活資產豐益組合基金,549825835
玉山美元非投資等級債券基金,2018402669
野村特別時機非投資等級債券基金,6335127175
中國信託臺灣ESG永續關鍵半導體ETF基金,57825655760
合庫樂活安養ESG穩健成長組合基金,394828663
合庫樂活安養ESG積極成長組合基金,415359024
匯豐ESG永續多元資產組合基金,552657631
富邦台灣核心半導體ETF基金,12506280034
宏利亞洲收益成長多重資產基金,226071651
景順三至六年機動到期優選新興債券基金,1590799295
國泰全球智能電動車ETF基金,15215183854
台新ESG環保愛地球成長基金,520585307
富達智慧醫療多重資產收益基金,951930794
富達未來通訊多重資產收益基金,1067437234
野村全球正向效應成長基金,837760433
合庫全球醫療照護產業多重資產收益基金,956544273
玉山四到六年機動到期新興金融基礎建設債券基金,710972664
柏瑞ESG量化全球股票收益基金,2022916821
富邦未來車ETF基金,7177377409
中國信託特選小資高價30ETF基金,6505540411
凱基新興市場ESG永續主題債券基金,1096380668
兆豐台灣金傳精選股息基金,255180130
台新中國政策趨勢基金,229157648
中國信託臺灣綠能及電動車ETF基金,9970822782
路博邁全球策略收益債券基金,1352814235
富邦基因免疫生技ETF基金,1570290588
聯邦低碳目標多重資產基金,129969290
國泰全球基因免疫與醫療革命ETF基金,1315272734
富邦越南機會基金,1860990946
玉山全球新供應鏈基金,312215453
路博邁顛覆式創新股票基金,349745789
富蘭克林華美全球潔淨能源ETF基金,381521705
中國信託科技趨勢多重資產基金,4952173674
富邦特選台灣高股息30ETF基金,29303431262
東方匯理全球投資等級綠色債券基金,689241044
永豐台灣智能車供應鏈ETF基金,2665424797
柏瑞趨勢動態多重資產基金,4617569245
宏利全球科技基金,368446920
國泰美國ESG基金,2680863763
中國信託電池及儲能科技ETF基金,2876002998
富邦元宇宙ETF基金,1000538334
富蘭克林華美生技基金,355434692
野村全球基礎建設大未來基金,1565501884
台新臺灣全市場半導體精選30ETF基金,6235158569
凱基未來移動基金,212683355
富蘭克林華美臺灣Smart ETF基金,8774036306
富達永續減碳商機多重資產收益基金,231388702
合庫2032目標日期多重資產收益基金,810768331
第一金台灣核心戰略建設基金,1767617872
兆豐全球元宇宙科技基金,654392022
中國信託 ESG 碳商機多重資產基金,311224863
合庫全球核心基礎建設收益基金,249531773
貝萊德環球動態趨勢多元資產組合基金,11916381599
富邦全球入息不動產與基礎建設ETF基金,561021605
永豐台灣優選入息存股ETF基金,2609763193
台中銀台灣優息基金,1004131277
富達永續全球股票收益基金,120189546
第一金太空衛星ETF基金,6929233250
台新臺灣高股息基金,396161624
國泰全球數位支付服務ETF基金,4646790260
兆豐洲際半導體ETF基金,1544159255
玉山全球生態友善ESG多重資產基金,812415990
中國信託臺灣智慧50ETF基金,1944425935
聯邦民生基礎建設股票入息基金,892801728
元大全球優質龍頭平衡基金,16528867229
兆豐特選台灣晶圓製造ETF基金,2224370364
永豐ESG全球數位基礎建設基金,409178290
富邦台美雙星多重資產基金,21776718433
凱基台灣優選高股息30 ETF基金,16483576549
國泰全球品牌50ETF基金,3157887821
台新美國策略時機非投資等級債券基金,1983746708
中國信託特選金融及數據ETF基金,1475102983
大華銀台灣優選股利高填息30ETF基金,113823741547
宏利數位基礎設施多重資產基金,395637207
群益台灣精選高息ETF基金,538296791836
凱基未來樂活多重資產基金,1401613282
瑞銀全球永續組合基金,199801896
東方匯理先進醫療科技多重資產基金,246996582
富邦全球ESG綠色電力ETF基金,479200160
國泰美國優質債券基金,6376690946
元大0至2年投資級企業債券基金,1023312245
元大2至10年投資級企業債券基金,1872786342
元大10年以上投資級企業債券基金,1779286694
施羅德全週期動態多元資產組合基金,788159740
柏瑞ESG減碳全球股票基金,1501042815
兆豐新加坡交易所房地產收益基金,86723795
華南永昌台灣環境永續高股息指數基金,287855967
群益智慧聯網電動車基金,2406588626
中國信託ESG金融收益多重資產基金,1075768034
大華銀六年期美元保本基金,206748721
聯博四年到期全球美元債券基金,2403781549
野村環球時機多重資產基金,781590223
兆豐台灣產業龍頭存股等權重ETF基金,1260423240
國泰四年到期成熟市場投資等級債券基金,3369265161
群益台灣ESG低碳50ETF基金,34521091495
國泰台灣領袖 50 ETF 基金,83378422216
台新全球多重資產基金,451385555
復華美國標普500成長ETF基金,14177006852
匯豐全球基礎建設收益基金,618600551
富蘭克林華美全球基礎建設收益基金,1763336738
兆豐日本優勢多重資產基金,809888975
柏瑞利率對策多重資產基金,796141011
永豐全球基礎建設及公用事業投資等級債券基金,357606727
凱基全球菁英55 ETF基金,2465696859
群益台灣半導體收益ETF基金,46507273993
中國信託上櫃ESG 30 ETF基金,1217355271
復華台灣科技優息ETF基金,131343352496
華南永昌全球投資等級債券基金,306128426
元大多多基金,10056720697
統一黑馬基金,35289187368
富邦精準基金,5849230769
瀚亞高科技基金,10684825370
摩根新興日本基金,901882431
富邦長紅基金,4046370219
摩根新興科技基金,21275489939
瀚亞外銷基金,14072663105
統一龍馬基金,9281120732
玉山金滿意基金,20397168769
統一強棒貨幣市場基金,101845925521
元大得利貨幣市場基金,46774185666
匯豐龍騰電子基金,3009596417
景順潛力基金,4683635118
摩根亞洲基金,5430347217
野村貨幣市場基金,6239815566
景順貨幣市場基金,603529397
元大卓越基金,13432988360
群益中小型股基金,4962620169
玉山亞太基金,1390769376
野村策略轉機多重資產基金,367872785
台新四年到期美國投資等級債券基金,370271426
元大日本龍頭企業基金,27681770327
聯邦臺灣精選收益多重資產基金,336946536
凱基實質收息多重資產基金,601985012
東方匯理創新趨勢多重資產基金,279489621
永豐台灣ESG低碳高息40ETF基金,3074088324
統一彭博美國20年期以上公債ETF基金,29239753116
兆豐收益增長多重資產基金,1748134834
中國信託成長轉機多重資產基金,1934082125
統一台灣高息優選基金,18204314694
兆豐台灣ESG永續高股息等權重 ETF 基金,2023999802
柏瑞科技多重資產基金,3612214155
大華銀全球短年期投資等級債券基金,854716859
台新靈活入息債券基金,2679201352
群益優化收益成長多重資產基金,3931305335
國泰10年以上投資級金融債券ETF基金,102057934062
永豐四年到期美國優質投資等級債券基金,937099867
中國信託臺灣優選成長高股息ETF基金,11477606540
台新臺灣永續高息中小型ETF基金,4224392963
華南永昌未來科技基金,901729882
兆豐全球債券ETF策略收益組合基金,278630496
復華三至八年機動到期A級債券美元基金,661511420
復華三至八年機動到期A級債券台幣基金,1745721436
野村臺灣創新科技50ETF基金,45974856389
東方匯理全球淨零碳排企業債券基金,579979697
第一金全球永續影響力投資多重資產基金,162922828
群益ESG 20年期以上BBB投資等級公司債ETF基金,245334225178
富蘭克林華美優選非投資等級債券基金,2287683133
凱基台灣優選30 ETF基金,2463421643
路博邁ESG優選平衡基金,204643368
東方匯理CIO精選收益基金,2208577985
元大台灣高股息低波動ETF連結基金,982681171
元大臺灣ESG永續ETF連結基金,525173593
統一台灣高息動能ETF基金,26360055792
群益時機對策非投資等級債券基金,1263628164
元大臺灣價值高息ETF基金,65712613224
中國信託上游半導體ETF基金,11499948492
台新美國20年期以上A級公司債券ETF基金,27935521005
兆豐台灣電子成長高息等權重ETF基金,860477640
復華台灣科技高股息基金,4719858181
野村臺灣趨勢動能高股息ETF基金,1075217486
富邦全球關鍵半導體基金,1647961526
凱基美國優選收益非投資等級債券ETF基金,11606809406
群益台灣科技高息成長ETF基金,6645685078
永豐創新醫療多重資產基金,704104638
台新臺灣IC設計動能ETF基金,9432924697
聯邦美國優選投資等級債券基金,1398400937
中國信託高評級策略收益債券基金,2272763323
中國信託15年期以上已開發市場投資級優化收益ESG美元公司債券ETF基金 (本子基金,36660507267
匯豐超核心多重資產基金,1818764999
復華日本護城河優勢龍頭企業ETF基金,3672080162
野村全球高股息基金,4206431322
富邦新台商基金,7342748577
華南永昌鳳翔貨幣市場基金,40747214443
台中銀大發基金,2204146991
統一中小基金,6776127959
玉山貨幣市場基金,22256253171
群益安穩貨幣市場基金,72767583263
富邦吉祥貨幣市場基金,62614588971
群益馬拉松基金,20732615830
台新吉星貨幣市場基金,25253629219
玉山店頭市場基金,1704125055
瀚亞菁華基金,4474129426
摩根第一貨幣市場基金,4025806249
景順全球科技基金,4751404478
聯博大利基金,2066532166
摩根龍揚基金,6667494491
聯邦金鑽平衡基金,495284933
玉山全球中小基金,690061294
元大台灣卓越50基金,2283731446214
復華全球平衡基金,21090663654
摩根全球平衡基金,836376797
元大台灣加權股價指數基金,20340858026
柏瑞旗艦全球平衡組合基金,2945801319
第一金中概平衡基金,805495725
野村鑫平衡組合基金,825526078
復華神盾基金,5746587416
德銀遠東DWS全球原物料能源基金,345301177
瀚亞股債入息組合基金,2900659000
元大全球ETF穩健組合基金,1854660702
野村台灣高股息基金,3666230561
安聯全球新興市場基金,1808416411
復華奧林匹克全球組合基金,4272625029
富邦全球不動產基金,309433298
富達卓越領航全球組合基金,1187448876
中國信託投信,652033391329
元大投信,4612778615701
兆豐投信,122958825980
凱基投信,529829965545
台中銀投信,5240067240
台新投信,382300813295
合庫投信,45131435058
國泰投信,1794056697853
大華銀投信,131475490935
安聯投信,626539788183
宏利投信,12353336132
富蘭克林華美投信,125425782119
富達投信,9719704152
富邦投信,1402253357615
復華投信,804722024685
德銀遠東投信,4480644780
摩根投信,130375925173
施羅德投信,16205509084
景順投信,34380700177
東方匯理投信,33248142887
柏瑞投信,123462532059
永豐投信,121958924837
滙豐投信,26097613769
瀚亞投信,143878851912
玉山投信,122149065489
瑞銀投信,4567163973
第一金投信,170767537469
統一投信,984271586391
總計,15639145218374
群益投信,1729655626701
聯博投信,174557413853
聯邦投信,35856397200
華南永昌投信,54583937364
街口投信,2426057166
貝萊德投信,27944670128
路博邁投信,90733520805
野村投信,350724101335
