主基金名稱,基金規模 (台幣)
復華全球金融債券入息主動式ETF基金,2236668358
貝萊德iShares安碩收益優化投資等級債主動式ETF基金,850023373
野村臺灣策略高息主動式ETF基金,11987423766
合庫AI電力創新多重資產基金,3573310788
富邦景氣循環多元資產組合基金,3634404407
東方匯理全球策略收益基金,1720801436
群益美國增長主動式ETF基金,13917317989
摩根台灣鑫收益主動式ETF基金,2926932064
國泰台股動能高息主動式ETF基金,27715460473
中國信託美國數據中心及電力ETF 基金,6669184556
安聯美國科技領航主動式ETF基金,6934325504
統一台股升級50主動式ETF基金,166633462643
台新彭博美國成長指數基金,4710737645
元大納斯達克100增強成長精選ETF基金,11921446832
野村全球稀土與關鍵資源ETF基金,9128680867
富蘭克林華美美國收益多重資產基金,6229646894
華南永昌全球未來金融優選30 ETF基金,963210095
聯博台灣動能收益50 主動式ETF基金,3393787576
富邦台灣龍耀主動式ETF基金,26482105748
國泰全球多元收益傘型基金之環球策略收益債券基金,14258209979
國泰全球多元收益傘型基金之全球收益非投資等級債券ETF基金,898769106
兆豐美國戰略智造多重資產基金,2494248199
中國信託台灣收益成長主動式ETF基金,15174089263
匯豐AI人型機器人多重資產基金,3572238252
群益美國科技巨頭ETF基金,6413935203
復華台灣菁英50指數基金,871376707
復華全球創新金融指數基金,1325488357
復華全球AI動力成長指數基金,2677318375
聯邦美國金融創新ETF基金,1877554667
凱基台灣主動式ETF基金,27156344718
元大優質收益成長多重資產基金,19114358855
野村臺灣智慧優選主動式ETF連結基金,1481788783
第一金台股趨勢優股息主動式ETF基金,1659263109
永豐台灣科技趨勢主動式ETF基金,2837337248
貝萊德iShares安碩世界股票ETF基金,3819507221
貝萊德iShares安碩10年期以上A級美元公司債ETF基金,3341864178
兆豐第一基金,218235191
野村鴻運基金,14027582003
匯豐安富基金,1600330264
野村鴻利基金,4483028948
兆豐萬全基金,578517486
華南永昌永昌基金,1775630053
富邦基金,2794608840
元大2001基金,7111701043
台新台灣富貴基金,1550690591
野村台灣運籌基金,12060778530
兆豐全球基金,1468147948
野村環球基金,8595668423
匯豐龍鳳基金,5426972703
野村積極成長基金,5050735166
統一全天候基金,17405875419
國泰小龍基金,30360918980
元大多福基金,9210122643
摩根台灣增長基金,2916242795
玉山高成長基金,17333178514
第一金全家福貨幣市場基金,21585907254
兆豐國民基金,1079953353
復華全球大趨勢基金,12979885953
玉山全球消費商機基金,709726025
摩根東方內需機會基金,1156520567
第一金全球大趨勢基金,1962714547
柏瑞全球策略非投資等級債券基金,12158337801
兆豐豐台灣基金,877029953
元大全球農業商機基金,393099447
摩根金龍收成基金,604720978
安聯四季回報債券組合基金,7361147812
瀚亞非洲基金,511308452
復華華人世紀基金,18277437274
元大得寶貨幣市場基金,21118506978
凱基開創基金,1138952515
富達台灣成長基金,4871441629
聯邦優勢策略全球債券組合基金,150514580
台新大三通基金,1217346620
華南永昌麒麟貨幣市場基金,4472285101
永豐中小基金,2069727548
德銀遠東DWS台灣貨幣市場基金,1971424294
台中銀萬保貨幣市場基金,912677354
景順全球康健基金,604268440
瀚亞美國高科技基金,16663201724
玉山全球醫療生化基金,11446138048
安聯全球生技趨勢基金,2398186141
街口台灣基金,1007406235
野村全球品牌基金,3563384675
兆豐生命科學基金,186720953
凱基凱旋貨幣市場基金,2780215449
國泰科技生化基金,8673586041
永豐趨勢平衡基金,696352099
復華全球債券基金,4044591796
街口平安貨幣市場基金,400077329
富蘭克林華美第一富基金,6038212754
復華人生目標基金,13405592541
復華傳家基金,8104923774
元大新主流基金,21987998701
景順主流基金,1246612772
聯邦貨幣市場基金,22922184911
宏利台灣動力基金,994369238
野村成長基金,8659236694
富邦精選五虎基金,1951291139
群益真善美基金,1226993698
富邦台灣心基金,1397857503
聯邦精選科技基金,1497432235
復華有利貨幣市場基金,2695070585
野村高科技基金,16843543433
野村平衡基金,3546495121
玉山新世紀基金,1234714973
台新2000高科技基金,6378355597
安聯台灣大壩基金,82576909629
統一大滿貫基金,24606590397
富邦高科技基金,1903956500
復華數位經濟基金,5747074238
瀚亞歐洲基金,1954395130
第一金亞洲科技基金,1785476654
國泰國泰基金,12496005923
統一亞太基金,1180317477
安聯台灣貨幣市場基金,26651101649
台中銀數位時代基金,901983848
國泰台灣貨幣市場基金,87586069551
復華傳家二號基金,19530842958
瀚亞理財通基金,7852484334
摩根平衡基金,7036539070
群益平衡王基金,2534181626
野村ｅ科技基金,11474243453
國泰中小成長基金,13420150201
玉山金平衡基金,1707721436
兆豐寶鑽貨幣市場基金,82235964235
安聯台灣科技基金,252571659259
復華中小精選基金,17176199444
野村中小基金,23846493599
聯邦中國龍基金,884634995
德銀遠東DWS台灣旗艦基金,2163919309
國泰大中華基金,18279682065
貝萊德寶利基金,1608905313
野村優質基金,61636532655
群益創新科技基金,10342357374
第一金電子基金,5006915668
台新1699貨幣市場基金,133330000000
元大店頭基金,1788518291
元大萬泰貨幣市場基金,38858499372
群益店頭市場基金,4922680075
第一金台灣貨幣市場基金,63340974385
富邦日盛基金,1691793689
玉山瑞騰基金,7700483386
野村泰國基金,877323425
富邦精銳中小基金,3756661668
第一金店頭市場基金,583251478
柏瑞巨人基金,5191922369
摩根東方科技基金,5913676338
摩根亞太高息平衡基金,580023793
瀚亞印度基金,13344892067
柏瑞旗艦全球債券組合基金,293538136
元大全球不動產證券化基金,1531031757
富蘭克林華美富蘭克林全球債券組合基金,1120318060
台新高股息平衡基金,1228243690
群益多重資產組合基金,997295052
野村全球不動產證券化基金,550188393
復華全方位基金,11018098386
匯豐中國動力基金,557677325
富蘭克林華美中華基金,380535914
台新中國成長基金,393713621
元大新中國基金,750199369
野村中國機會基金,1919329081
安聯中國策略基金,4620434867
復華全球短期收益基金,1204533241
元大大中華價值指數基金,532687268
第一金全球非投資等級債券基金,1704547958
永豐亞洲民生消費基金,193766267
群益東方盛世基金,1179488429
元大標智滬深300基金,2408358853
凱基台灣精五門基金,4021880996
第一金中國世紀基金,839625866
復華高益策略組合基金,1573422454
國泰中港台基金,1351327514
元大印度基金,436732269
摩根中國亮點基金,1440378250
安聯全球油礦金趨勢基金,663844046
群益華夏盛世基金,3850993259
宏利亞太入息債券基金,1875329526
瀚亞巴西基金,690222647
摩根台灣金磚基金,7591046063
統一大龍印基金,2293999643
元大新興亞洲基金,888132912
野村巴西基金,678590037
第一金亞洲新興市場基金,337520790
玉山拉丁美洲基金,494794541
群益印巴雙星基金,715733481
復華全球原物料基金,914581689
宏利亞太中小企業基金,249896077
安聯中國東協基金,1235677590
國泰豐益債券組合基金,661383206
柏瑞新興市場非投資等級債券基金,717859896
摩根新金磚五國基金,690012276
富蘭克林華美新興趨勢傘型基金之天然資源組合基金,332454679
台中銀中國精選成長基金,217127770
台新中國精選中小基金,196498445
凱基新興趨勢ETF組合基金,132197233
匯豐資源豐富國家收益基金,880584968
第一金創新趨勢基金,4888475808
統一大中華中小基金,2229655228
國泰新興市場基金,924447800
元大印尼指數基金,186185237
元大巴西指數基金,136304132
復華新興債股動力組合基金,1669775165
瀚亞全球非投資等級債券基金,2592552749
宏利新興市場非投資等級債券基金,1317212991
富邦MIT主流基金,804040054
富邦全球投資等級債券基金,1866000449
復華大中華中小策略基金,1038407418
野村雙印傘型基金之印度潛力基金,957223511
摩根總收益組合基金,990082090
元大富櫃50基金,880026003
群益東協成長基金,855513162
富蘭克林華美中國消費基金,1313619632
玉山中國品牌基金,2777456991
台新新興傘型基金之台新新興市場機會股票基金,61045256
群益印度中小基金,11091693518
永豐新興市場及非投資等級雙債組合基金,178116089
復華新興市場短期收益基金,1110705186
復華新興市場非投資等級債券基金,645545675
元大摩臺基金,1893544883
富蘭克林華美台股傘型基金之高科技基金,4863193751
野村亞太複合非投資等級債券基金,1065485671
國泰中國內需增長基金,10624670533
統一新亞洲科技能源基金,5372189940
合庫台灣基金,1378787563
台新印度基金,445739140
富邦中國內需動力基金,180126002
凱基新興市場中小基金,409139320
國泰新興非投資等級債券基金,1412907911
永豐臺灣加權ETF基金,319309212
復華東協世紀基金,425634684
富邦上証180基金,3935901604
摩根亞洲總合非投資等級債券基金,885371686
瀚亞中國A股基金,808247565
群益大中華雙力優勢基金,366619431
宏利中國離岸債券基金,631252226
安聯四季豐收債券組合基金,17453611888
柏瑞旗艦全球成長組合基金,1564709695
群益安家基金,757425958
摩根全球創新成長基金,3720006149
永豐中國經濟建設基金,510014210
國泰中國新興戰略基金,4422462247
施羅德中國非投資等級債券基金,364866117
富邦亞洲非投資等級債券基金,203441905
柏瑞ESG新興市場企業策略債券基金,885763099
元大上證50基金,1052654745
復華滬深300 A股基金,687131732
富蘭克林華美全球非投資等級債券基金,7672475125
富邦台灣釆吉50基金,435006081551
統一亞洲大金磚基金,306086943
凱基雲端趨勢基金,858776632
合庫全球非投資等級債券基金,655137570
富蘭克林華美貨幣市場基金,30466196884
復華南非幣短期收益基金,654027761
復華南非幣長期收益基金,821397260
永豐新興市場企業債券基金,236763914
富蘭克林華美全球投資級債券基金,1000962172
摩根中國A股基金,9481751202
富邦亞太債券傘型基金之富邦亞太優質債券基金,359042770
富邦亞太債券傘型基金之富邦中國非投資等級債券基金,302478494
玉山新興市場企業債券基金,823946647
合庫新興多重收益基金,236333567
永豐滬深300紅利指數基金,1249830597
復華全球消費基金,332070109
復華美國新星基金,4236080776
野村環球非投資等級債券基金,593380789
安聯四季雙收入息組合基金,9000016016
匯豐中國A股匯聚基金,2009714664
國泰人民幣貨幣市場基金,579801763
群益美國新創亮點基金,1957892366
群益全球關鍵生技基金,695815838
柏瑞新興亞太策略債券基金,1677333871
聯博收益傘型基金之聯博債券收益組合基金,1143451526
聯博收益傘型基金之聯博多元資產收益組合基金,67138785262
兆豐人民幣貨幣市場基金,338217035
群益中國新機會基金,3704477788
台新中國傘型基金之台新中証消費服務領先指數基金,1927187861
群益工業國入息基金,232647347
摩根泛亞太股票入息基金,795531048
聯邦環太平洋平衡基金,202717821
華南永昌中國A股基金,346574615
元大人民幣貨幣市場基金,502792834
復華全球戰略配置強基金,2814287360
富蘭克林華美中國傘型基金之中國A股基金,2942994675
柏瑞亞洲亮點股票基金,451411138
玉山中國中小基金,1424491656
安聯四季成長組合基金,14765890432
國泰收益傘型基金之全球多重收益平衡基金,4136252440
兆豐中國A股基金,3637979288
統一大龍騰中國基金,1833982601
國泰亞洲成長基金,1342184476
台新全球生技醫療基金,537694559
摩根多元入息成長基金,7199838671
華南永昌多重資產入息平衡基金,688058109
元大台灣50單日正向2倍基金,264845987241
元大台灣50單日反向1倍基金,22022538314
瀚亞亞太豐收平衡基金,177213850
富邦中國ETF傘型基金之富邦上証180單日正向兩倍基金,5839267382
富邦中國ETF傘型基金之富邦上証180單日反向一倍基金,148105643
聯博多重資產傘型基金之聯博歐洲多重資產基金,1356933830
聯博多重資產傘型基金之聯博亞太多重資產基金,1521349684
元大大中華TMT基金,708461185
富蘭克林華美全球成長基金,551019169
安聯目標收益基金,3863474169
群益環球金綻雙喜基金,1074666913
野村動態配置多重資產基金,926363830
聯博全球非投資等級債券基金,44090362747
國泰富時中國A50基金,2729200891
摩根新興雙利平衡基金,306618120
合庫貨幣市場基金,30677533354
元大滬深300單日反向1倍基金,164018627
元大滬深300單日正向2倍基金,15208980009
群益中國金采平衡基金,147016162
富邦深証100基金,1623118604
復華中國新經濟平衡基金,2139940380
復華中國新經濟A股基金,3123840514
元大全球股票入息基金,834216703
野村美利堅非投資等級債券基金,440331248
安聯中華新思路基金,2816973507
富邦日本ETF傘型基金之富邦日本東証單日正向兩倍基金,710485881
富邦日本ETF傘型基金之富邦日本東証單日反向一倍基金,306257559
摩根中國雙息平衡基金,2784391212
元大新興印尼機會債券基金,300297016
群益深証中小100基金,1340470568
統一亞洲非投資等級債券基金,265950161
富邦日本東証基金,2460373914
柏瑞亞太非投資等級債券基金,2027873203
復華恒生單日正向二倍基金,1885455331
復華恒生單日反向一倍基金,164942282
玉山中國好時平衡基金,91198880
國泰亞太入息平衡基金,1488120919
野村日本領先基金,2148694500
元大標普500單日反向1倍基金,573554876
元大標普500單日正向2倍基金,861998444
元大標普500基金,43399272223
華南永昌全球物聯網精選基金,299806069
群益大印度基金,915387250
富邦印度ETF傘型基金之富邦印度NIFTY基金,2212943814
富邦印度ETF傘型基金之富邦印度NIFTY單日反向一倍基金,130783410
富邦印度ETF傘型基金之富邦印度NIFTY單日正向兩倍基金,693716567
摩根環球股票收益基金,3004425468
元大美元貨幣市場基金,1510466830
野村全球短期收益基金,1161595508
柏瑞環球多元資產基金,543607664
台新美國豐收平衡基金,310460229
群益全球地產入息基金,295094912
國泰A50傘型基金之富時中國A50單日反向1倍基金,120552418
國泰A50傘型基金之富時中國A50單日正向2倍基金,1993358367
台新全球多元資產組合基金,370603223
統一全球新科技基金,27997033857
聯邦永騰亞洲非投資等級債券基金,232914546
國泰日本ETF傘型基金之日經225基金,502651577
野村多元收益多重資產基金,4554862752
富蘭克林華美多重資產收益基金,15577430277
元大日經225基金,1950521396
元大歐洲50基金,353621478
第一金全球AI機器人及自動化產業基金,4072225838
富邦NASDAQ-100基金,101934257939
復華全球物聯網科技基金,34234942968
玉山多元收益組合基金,309266849
元大新東協平衡基金,353571761
國泰臺指ETF傘型基金之臺灣加權指數單日反向1倍基金,1217231075
國泰臺指ETF傘型基金之臺灣加權指數單日正向2倍基金,16578044883
富邦恒生國企ETF傘型基金之富邦恒生國企單日反向一倍基金,131179386
富邦恒生國企ETF傘型基金之富邦恒生國企單日正向兩倍基金,4172421963
兆豐美元貨幣市場基金,460226079
富蘭克林華美亞太平衡基金,1740289697
富達亞洲總報酬基金,485288098
群益金選報酬平衡基金,188920985
富邦NASDAQ-100 ETF傘型基金之富邦NASDAQ-100單日反向一倍基金,1362429726
富邦NASDAQ-100 ETF傘型基金之富邦NASDAQ-100單日正向兩倍基金,14135382779
國泰美國ETF傘型基金之道瓊工業平均指數單日反向1倍基金,1089448568
國泰美國ETF傘型基金之道瓊工業平均指數基金,468269878
台新全球債券基金,2330503611
中國信託樂齡收益平衡基金,253338155
富邦中國戰略A股基金,471485528
宏利全球動力股票基金,650936742
復華台灣智能基金,17532455872
富邦臺灣加權ETF傘型基金之富邦臺灣加權單日正向兩倍基金,33018204767
富邦臺灣加權ETF傘型基金之富邦臺灣加權單日反向一倍基金,933644072
第一金全球AI FinTech金融科技基金,601302939
元大美國政府20年期(以上)債券單日正向2倍基金,9487984937
元大美國政府20年期(以上)債券基金,167406050782
元大美國政府20年期(以上)債券單日反向1倍基金,167598674
富邦恒生國企ETF基金,633233198
群益那斯達克生技基金,337553176
柏瑞特別股息收益基金,36129457417
元大美國政府7至10年期債券基金,2261348381
富邦歐亞絲路多重資產型基金,362668980
玉山策略成長ETF組合基金,1139041334
群益臺灣加權單日反向1倍基金,216936937
群益臺灣加權單日正向2倍基金,73336461649
瀚亞策略印度傘型基金之印度策略收益平衡基金A類型新台幣 (本子基金,559780938
瀚亞策略印度傘型基金之印度策略收益債券基金A類型新臺幣 (本子基金,659874630
兆豐臺灣藍籌30ETF基金,6072041587
富邦臺灣公司治理100基金,53725716709
國泰美國債券ETF傘型基金之20年期(以上)美國公債指數基金,120812139659
國泰美國債券ETF傘型基金之20年期(以上)美國公債指數單日反向1倍基金,159852913
國泰美國債券ETF傘型基金之20年期(以上)美國公債指數單日正向2倍基金,4015863872
凱基醫院及長照產業基金,287569443
富邦美國政府債券ETF傘型基金之富邦美國政府債券1-3年期基金,1549933999
富邦美國政府債券ETF傘型基金之富邦美國政府債券7-10年期基金,1398029612
富邦美國政府債券ETF傘型基金之富邦美國政府債券20年期以上基金,17236840730
群益全球特別股收益基金,333875012
貝萊德全方位資產收益組合基金,295760193
元大亞太優質高股息100指數基金,154104545
華南永昌Shiller US CAPE ETF組合基金,249624603
台新MSCI中國基金,192941668
富邦富時歐洲ETF基金,638999098
復華1至5年期非投資等級債券基金,3483547960
復華富時不動產證券化基金,43379951087
復華新興市場10年期以上債券基金,13744736272
國泰低波動ETF傘型基金之臺灣低波動股利精選30基金,6712236644
國泰低波動ETF傘型基金之美國標普500低波動高股息基金,169269709
路博邁台灣5G股票基金,45084661882
富蘭克林華美退休傘型之目標2027組合基金,176463817
富蘭克林華美退休傘型之目標2037組合基金,668687250
富蘭克林華美退休傘型之目標2047組合基金,427961181
第一金全球水電瓦斯及基礎建設收益基金,14573045832
統一全球動態多重資產基金,1939306922
元大台灣高股息低波動ETF基金,105494111487
群益道瓊美國地產ETF基金,475626530
富達亞洲非投資等級債券基金,655529818
富邦標普美國特別股ETF基金,1827464912
富蘭克林華美全球醫療保健基金,723754745
台新智慧生活基金,3707764927
柏瑞多重資產特別收益基金,10527168027
元大20年期以上BBB級美元公司債券ETF基金,130677534175
元大美國政府1至3年期債券ETF基金,9714907024
群益15年期以上電信業公司債ETF基金,50057682132
群益15年期以上科技業公司債ETF基金,44975997025
群益10年期以上金融債ETF基金,100441734325
柏瑞全球金牌組合基金,520123941
群益奧斯卡基金,1457295636
國泰幸福階梯傘型基金之全球積極組合基金,2151747906
匯豐金磚動力基金,791679044
元大亞太成長基金,1031630543
摩根絕對日本基金,1477968378
復華亞太平衡基金,1907541653
瀚亞亞太高股息基金,1160427099
野村亞太高股息基金,1871640692
群益葛萊美基金,2573752296
台新北美收益資產證券化基金,3348403128
元大全球新興市場精選組合基金,470266944
摩根新興35基金,6161282875
元大台灣中型100基金,3175075495
復華全球債券組合基金,3429722300
統一全球債券組合基金,283521195
匯豐新鑽動力基金,703394740
群益亞太新趨勢平衡基金,1504535849
元大全球ETF成長組合基金,1845462349
富邦台灣科技指數基金,160534053598
