主基金名稱,經理 人姓名
匯豐全球趨勢組合基金,魏筱倫
柏瑞美國雙核心收益基金,劉文茵
凱基台商天下基金,吳志文
元大全球地產建設入息基金,陳品橋
瀚亞亞太基礎建設基金,林庭樟
永豐主流品牌基金,羅嘉德
第一金全球不動產證券化基金,林志映
中國信託台灣活力基金,徐啟葳
復華全球資產證券化基金,張正宇
元大台灣金融基金,程惇亞
元大台灣電子科技基金,陳威志
富邦大中華成長基金,朱家玄
宏利精選中華基金,劉柏廷
匯豐全球關鍵資源基金,楊博翔
富邦亞洲機會基金,朱家玄
統一台灣動力基金,張哲瑋
安聯全球股票多元投資風格基金,洪華珍
玉山全球資源基金,常李奕翰
富邦首選基金,董士興
施羅德台灣樂活中小基金,柯鴻旼
復華奧林匹克全球優勢組合基金,朱展志
元大台灣高股息基金,陳威志
富邦全球抗暖化基金,鄭力瑋
玉山全球基礎建設基金,王翔慧
摩根新絲路基金,黃銘功
富邦台灣ETF傘型基金之富邦台灣摩根指數股票型基金,陳双吉
安聯全球農金趨勢基金,林孟洼
富蘭克林華美新世界股票基金,郭修伸
安聯台灣智慧基金,陳思銘
合庫標普利變特別股收益指數基金,林鴻宗
復華亞太神龍科技基金,王萬里
國泰息收ETF傘型基金之10年期(以上)BBB美元息收公司債券基金,李育齡
國泰息收ETF傘型基金之優選1-5年美元非投資等級債券基金,陳韻竹
國泰息收ETF傘型基金之新興市場5年期(以上)美元息收投資等級債券基金,江宇騰
瑞銀全方位非投資等級債券基金,鍾君長
第一金臺灣工業菁英30 ETF基金,曾萬勝
富邦道瓊臺灣優質高息30ETF基金,林旻致
富蘭克林華美特別股收益基金,吳佩玟
安聯收益成長多重資產基金,謝佳伶
永豐全球多元入息基金,王資涵
統一大東協高股息基金,黃柏章
復華富時台灣高股息低波動基金,劉昌祚
國泰優勢收益傘型基金之主順位資產抵押非投資等級債券基金,王心怡
台新摩根大通新興市場投資等級美元債券ETF基金,黃鈺民
群益全球優先順位非投資等級債券基金,徐建華
富邦臺灣中小A級動能50ETF基金,蘇筱婷
第一金全球AI精準醫療基金,郭諺雅
野村全球金融收益基金,林詩孟
國泰趨勢ETF傘型基金之納斯達克全球人工智慧及機器人基金,游凱卉
國泰趨勢ETF傘型基金之臺韓科技基金,江宇騰
國泰趨勢ETF傘型基金之富時新興市場基金,陳世偉
元大MSCI中國A股國際通ETF基金,李舒禾
貝萊德享退休系列2030目標日期組合基金,李珈蕙
貝萊德享退休系列2040目標日期組合基金,李珈蕙
貝萊德享退休系列2050目標日期組合基金,李珈蕙
富邦全方位入息ETF傘型基金之富邦彭博優選1-5年非投資等級債券ETF基金,黎邕墉
富邦全方位入息ETF傘型基金之富邦彭博10年期(以上)BBB美元息收公司債券ETF基金,黎邕墉
中國信託智慧城市建設基金,張晨瑋
宏利特別股息收益基金,劉柏廷
路博邁全球非投資等級債券基金,鄭吉良
富邦多元收益ETF傘型基金之富邦彭博9-35年A級美元息收公司債券ETF基金,王辰方
瀚亞多重收益優化組合基金,鄭夙希
富達全球多重資產收益組合基金,夏苔耘
元大20年期以上AAA至A級美元公司債券ETF基金,陳柏彰
凱基全球息收ETF傘型基金之凱基10年期以上新興市場BBB美元主權債及類主權債券ETF基金,劉書銘
凱基全球息收ETF傘型基金之凱基10年期以上科技業公司債券ETF基金,王韻茹
群益2028 REVERSO美元保本基金,李運婷
路博邁收益成長多重資產基金,吳吟蒞
聯博中國A股基金,黃瑋柔
玉山印度機會債券基金,張世東
景順2028到期精選新興債券基金,曾任平
柏瑞中國A股量化精選基金,方定宇
中國信託MSCI中國外資自由投資50不含A及B股單日正向2倍ETF基金,陳雯卿
中國信託MSCI中國外資自由投資50不含A及B股ETF基金,陳雯卿
富邦全球智能車基金,蕭智偉
群益15年期以上公用事業公司債ETF 基金,李鈺涵
群益15年期以上高評等公司債ETF 基金,曾盈甄
群益15年期以上新興市場主權債ETF基金,謝明志
復華15年期以上製藥業債券ETF基金,廖崇文
復華15年期以上能源業債券ETF基金,劉昌祚
復華新興市場企業債券ETF基金,許忠成
統一NYSE FANG+ ETF基金,林良一
元大全球人工智慧ETF基金,方雅婷
合庫AI電動車及車聯網創新基金,張仲平
國泰10年期以上A等級美元公司債券ETF基金,陳韻竹
台新全球AI新創產業基金,孫光政
群益潛力收益多重資產基金A(累積型-新臺幣) (本子基金,向思穎
群益25年期以上美國政府債券ETF基金,李鈺涵
富邦AI智能新趨勢多重資產型基金,高晧欣
第一金全球AI人工智慧基金,黃筱雲
復華十年到期新興市場債券基金,吳宜潔
摩根大歐洲基金,蓋欣聖
復華貨幣市場基金,杜承豪
永豐貨幣市場基金,王資涵
宏利臺灣股息收益基金,周鉦凱
台新大眾貨幣市場基金,楊麗靖
匯豐台灣精典基金,張雅雯
富邦小而美基金,古漢斌
第一金小型精選基金,羅得佑
景順台灣科技基金,鄭宗豪
摩根中小基金,葉鴻儒
統一奔騰基金,陳釧瑤
玉山科技島基金,林哲宇
兆豐電子基金,林祖延
永豐領航科技基金,吳旻霖
柏瑞巨輪貨幣市場基金,劉文茵
玉山大中華基金,陳舜津
台新店頭基金,沈建宏
復華高成長基金,呂宏宇
復華美國20年期以上公債ETF基金,廖崇文
國泰標普北美科技ETF基金,林淑娟
元大標普美國高息特別股ETF基金,盧永祥
中國信託10年期以上高評級美元公司債券ETF基金,張瓈尹
中國信託10年期以上優先順位金融債券ETF基金,張瓈尹
台新全方位收益ETF傘型基金之台新富時15年以上特選產業美元投資等級債券ETF基金,劉恆誌
安聯美國短年期非投資等級債券基金,謝佳伶
凱基多元收益ETF傘型基金之凱基15年期以上AAA至A級美元公司債券ETF基金,李暢
凱基多元收益ETF傘型基金之凱基20年期以上美元金融債券ETF基金,王韻茹
凱基多元收益ETF傘型基金之凱基25年期以上美國公債ETF基金,劉書銘
國泰旗艦產業ETF傘型基金之15年期以上A等級公用事業產業債券基金,江宇騰
國泰旗艦產業ETF傘型基金之15年期以上A等級科技產業債券基金,陳韻竹
國泰旗艦產業ETF傘型基金之7-10年A等級金融產業債券基金,江宇騰
富邦多元收益ⅡETF傘型基金之富邦中國中証中小500ETF基金,陳双吉
富邦多元收益ⅡETF傘型基金之富邦全球金融業10年以上美元投等債券ETF基金,王辰方
元大10年期以上美元投資級銀行債券ETF基金,李怡婷
元大10年期以上美元投資級醫療保健債券ETF基金,陳柏彰
元大10年期以上美元投資級公共事業電能債券ETF基金,李怡婷
復華1至5年期美元特選信用債券ETF基金,許忠成
復華20年期以上A3級以上公司債券ETF基金,曹君龍
景順2029到期精選新興債券基金,曾任平
富蘭克林華美新興國家固定收益基金,陳柏翰
群益15年期以上A級美元公司債ETF基金,謝明志
群益15年期以上AAA-A醫療保健業美元公司債ETF基金,李鈺涵
中國信託美國政府20年期以上債券ETF基金,張瓈尹
台新優先順位資產抵押非投資等級債券基金,曾俊豪
國泰大三元ETF傘型基金之15年期以上A等級醫療保健產業債券基金,林宛萱
國泰大三元ETF傘型基金之美國費城半導體基金,李翰林
第一金彭博美國10年期以上金融債券指數ETF基金,曾萬勝
元大台灣高股息ETF連結基金,張明珠
元大台灣卓越50ETF連結基金,張明珠
元大富櫃50ETF連結基金,曾逸江
宏利澳洲優選債券收益基金,李育昇
永豐10年期以上美元A級公司債券ETF基金,林永祥
東方匯理全球非投資等級債券基金,邱奕仁
復華十年到期精選新興市場債券基金,施尚文
凱基精選美元債券ETF傘型基金之凱基15年期以上美元投資等級精選公司債券ETF基金,李暢
凱基精選美元債券ETF傘型基金之凱基20年期以上AAA至AA級大型美元公司債券ETF基金,李暢
路博邁5G股票基金,黃煜
台新息收傘型基金之台新美元銀行債券15年期以上ETF基金,黃鈺民
兆豐中國內需A股基金,李長昇
第一金美國100大企業債券基金,林邦傑
柏瑞新興邊境非投資等級債券基金,許雅婷
台新首選收益傘型基金之台新15年期(以上)美元金融債券ETF基金,黃鈺民
台新首選收益傘型基金之台新全球特別股收益基金,高依暄
富邦多元收益ⅢETF傘型基金之富邦彭博歐洲區美元7-15年期銀行債ETF基金,王素珍
富邦多元收益ⅢETF傘型基金之富邦中國以外新興市場美元5年以上投資等級債券ETF基金,洪珮甄
國泰泰享退系列2029目標日期組合基金,林庭妤
國泰泰享退系列2049目標日期組合基金,廖維苡
國泰泰享退系列2039目標日期組合基金,廖維苡
群益全民成長樂退組合基金,葉啟芳
群益全民安穩樂退組合基金,李運婷、林宗慧
群益全民優質樂退組合基金,葉啟芳
中國信託美國高評級市政債券ETF基金 (本子基金,辛忠駿
中國信託新興市場0-5年期美元政府債券ETF基金 (本子基金有 一定 比重投資於非投資等級之高風險債券 且基金,辛忠駿
中國信託新興亞洲(不含中國)美元精選綜合債券ETF基金 (本子基金有一定比重投資於非投資等級之高風險債券且基金,林施緯
景順十年到期特選新興債券基金,曾任平
台新SG全球AI機器人精選ETF基金,黃鈺民
元大臺灣ESG永續ETF基金,邱鉦淵
凱基臺灣多元收益多重資產基金,李怡勲
國泰道瓊工業平均指數單日正向2倍基金,蘇鼎宇
復華美元非投資等級債券指數基金,許忠成
復華5至10年期投資等級債券指數基金,劉昌祚
復華已開發國家300股票指數基金,吳允翔
統一彭博10年期以上Aa至A級美元優質公司債券ETF基金,許雅惠
統一全球智聯網AIoT基金,蘇柏勳
玉山美國投資級企業債券基金,張世東
永豐1至3年期美國公債ETF基金,王茗冠
永豐20年期以上美國公債ETF基金,林永祥
永豐美國大型500股票ETF基金,陳沛瑩
群益1-5年期投資等級公司債ETF基金,曾盈甄
群益全球策略收益金融債券基金A(累積型-新臺幣) (本子基金,徐建華
群益0-1年期美國政府債券ETF基金,李鈺涵
凱基收益成長多重資產基金,李怡勲
元大全球未來通訊ETF基金,方雅婷
第一金全球富裕國家債券基金,林邦傑
中國信託美國政府0至1年期債券ETF基金,蔡欣翰
中國信託10年期以上電信業美元公司債券ETF基金,張瓈尹
中國信託20年期以上BBB級美元公司債券ETF基金,尤詩敏
東方匯理實質收息多重資產基金,廖偉至
國泰美國收益傘型基金之美國短期公債ETF基金,陳韻竹
國泰美國收益傘型基金之美國多重收益平衡基金,范姜佩瑩
台新優質收益ETF傘型基金之台新15年期(以上)A-BBB美元電信債券ETF基金,張意聆
柏瑞新興動態多重資產基金,邱紹驊
宏利七年階梯到期新興市場債券基金,鍾美君
元大15年期以上新興市場主權債ETF基金,周宜縉
東方匯理新興市場非投資等級債券基金,劉佳雨
台新新興富域國家債券基金,尹晟龢
路博邁優質企業債券基金,鄭吉良
華南永昌低波動多重資產基金,申暉弘
國泰亞洲非投資等級債券基金,陳智傑
柏瑞ESG量化債券基金,施宜君
復華美國標普500低波動指數基金,吳允翔
復華新興亞洲3至10年期美元債券指數基金,劉昌祚
復華新興市場3年期以上美元主權及類主權債券指數基金,許忠成
匯豐成功基金,邵琮淳
元大台灣高股息優質龍頭基金,黃玉枝
大華銀七年到期新興市場債券基金,謝奕騰
國泰網路資安ETF基金,沈廷陽
永豐臺灣ESG永續優選基金,許書豪
台新新興短期非投資等級債券基金,張瑋芝
統一統信基金,楊雪幸
元大全球5G關鍵科技ETF基金,李政剛
聯博美國傘型基金之聯博美國多重資產收益基金,陳莉莉
聯博美國傘型基金之聯博美國成長入息基金,郭又語
中國信託亞太實質收息多重資產基金,鄭博森
瑞銀優質精選收益基金,鍾君長
合庫台灣高科技基金,陳元漢
瀚亞2030目標日期收益優化多重資產基金,杜振宇
復華中國5G通信ETF基金,吳允翔
安聯特別收益多重資產基金,林素萍
聯邦高息策略多重資產基金,伊依
街口中小型基金,吳帛亞
台新中國通基金,魏永祥
中國信託華盈貨幣市場基金,陳薏安
富邦貨幣市場基金,楊子慶
統一經建基金,楊孟喬
元大高科技基金,王寧毅
富邦上選基金,謝尚瑾
台新創新科技基金,沈建宏
富邦高成長基金,蕭宸謙(代理)
復華復華基金,呂宏宇
台新台灣中小基金,沈建宏
群益長安基金,陳朝政
永豐永豐基金,周力行
瀚亞中小型股基金,蒲大衛
元大經貿基金,許至豪
宏利萬利貨幣市場基金,陳培倫
富邦科技基金,林志邦(代理)
玉山中小型股基金,杜欣霈
瀚亞威寶貨幣市場基金,周曉蘭
兆豐台灣先進通訊基金,林天運
國泰台灣高股息傘型基金之台灣ESG永續高股息ETF基金,江宇騰
國泰台灣高股息傘型基金之台灣高股息基金,梁恩溢
大華銀新加坡房地產收益基金,陳玟伶
瑞銀2026年到期優選新興亞洲債券基金,黃子祐
凱基全球ESG永續非投資等級債券基金,蔡政賢
富邦台灣高股息基金,董士興
中國信託越南機會基金,張晨瑋
安聯新興債券收益組合基金,劉珉睿
東方匯理美元核心收益債券基金,邱奕仁
台新策略優選總回報非投資等級債券基金,賴哲夫
第一金全球Fitness健康瘦身基金,郭諺雅
第一金全球eSports電競基金,劉郁伶
景順2030優享樂活退休組合基金,彭雅賢
宏利實質多重資產基金,李育昇
路博邁ESG新興市場債券基金,鄭吉良
大華銀四至六年機動到期全球投資等級債券基金-TWD B (本子基金,謝奕騰
大華銀四至六年機動到期新興市場優質主權債券基金-TWD A (本子基金,謝奕騰
富蘭克林華美AI新科技基金,楊金峯
富邦長照產業收益不動產證券化基金,蕭智偉
柏瑞ESG量化多重資產基金,陳柏元
宏利全球非投資等級債券基金,鍾美君
國泰台灣科技龍頭ETF基金,蘇鼎宇
施羅德全週期成長多重資產基金,李馥吟
瀚亞三至六年到期新興市場收益機會債券基金,杜振宇
兆豐新興市場短期非投資等級債券基金,張嘉祐
台新ESG新興市場債券基金,尹晟龢
復華台灣好收益基金,顧克勤
瀚亞2031目標日期收益成長多重資產基金,杜振宇
台新琤肮鴔獂數基金,劉恆誌
瑞銀精選債券收益組合基金,鍾君長
第一金四至六年機動到期全球富裕國家投資級債券基金,林邦傑
中國信託15年期以上新興市場美元主權低碳債券ETF基金,辛忠駿
中國信託琤秅什穈牧悎余TF基金 (本子基金之配息來源可能為收益平準金且基金,葉松炫
東方匯理美國非投資等級債券基金,邱奕仁
凱基未來世代關鍵收息多重資產基金,馬承皓
大華銀亞洲ESG債券基金,謝奕騰
瑞銀2027年到期優選新興市場債券基金,黃子祐
永豐中國科技50大ETF基金,林永祥
永豐台灣ESG永續優質ETF基金,林永祥
柏瑞全球策略量化債券基金,陳柏元
永豐美國科技ETF基金,王茗冠
富邦富時越南ETF基金,陳仲愷
富邦台灣永續成長股息基金,蕭宸謙
凱基環球傘型基金之凱基 15 年期以上美元 BBB 級 ESG 永續公司債券 ETF 基金,劉書銘
凱基環球趨勢基金,黃廷偉
景順2031年樂活資產豐益組合基金,彭雅賢
玉山美元非投資等級債券基金,鄭宇君
野村特別時機非投資等級債券基金,郭臻臻
中國信託臺灣ESG永續關鍵半導體ETF基金,張圭慧
合庫樂活安養ESG穩健成長組合基金,張仲平
合庫樂活安養ESG積極成長組合基金,張仲平
匯豐ESG永續多元資產組合基金,何立凱
富邦台灣核心半導體ETF基金,陳双吉
宏利亞洲收益成長多重資產基金,陳培倫
景順三至六年機動到期優選新興債券基金,曾任平
國泰全球智能電動車ETF基金,游凱卉
台新ESG環保愛地球成長基金,高依暄
富達智慧醫療多重資產收益基金,陳晞倫
富達未來通訊多重資產收益基金,陳晞倫
野村全球正向效應成長基金,沈思瑩、劉佳奇
合庫全球醫療照護產業多重資產收益基金,延任
玉山四到六年機動到期新興金融基礎建設債券基金,鄭宇君
柏瑞ESG量化全球股票收益基金,方定宇
富邦未來車ETF基金,王素珍
中國信託特選小資高價30ETF基金,韓聖弘
凱基新興市場ESG永續主題債券基金,蔡政賢
兆豐台灣金傳精選股息基金,王仲良
台新中國政策趨勢基金,游欣穎
中國信託臺灣綠能及電動車ETF基金,張苡琤
路博邁全球策略收益債券基金,鄭吉良
富邦基因免疫生技ETF基金,陳婉寧
聯邦低碳目標多重資產基金,黃耀德
國泰全球基因免疫與醫療革命ETF基金,林淑娟
富邦越南機會基金,蔡宗和
玉山全球新供應鏈基金,常李奕翰
路博邁顛覆式創新股票基金,王昱如
富蘭克林華美全球潔淨能源ETF基金,江明鴻
中國信託科技趨勢多重資產基金,楊士醇
富邦特選台灣高股息30ETF基金,洪珮甄
東方匯理全球投資等級綠色債券基金,劉佳雨
永豐台灣智能車供應鏈ETF基金,王茗冠
柏瑞趨勢動態多重資產基金,連伯瑋
宏利全球科技基金,劉柏廷
國泰美國ESG基金,林楷潔
中國信託電池及儲能科技ETF基金,施絜心
富邦元宇宙ETF基金,王辰方
富蘭克林華美生技基金,游信凱
野村全球基礎建設大未來基金,黃鈺文
台新臺灣全市場半導體精選30ETF基金,黃鈺民
凱基未來移動基金,吳志文
富蘭克林華美臺灣Smart ETF基金,江明鴻
富達永續減碳商機多重資產收益基金,劉敏俐
合庫2032目標日期多重資產收益基金,王慎中
第一金台灣核心戰略建設基金,張正中
兆豐全球元宇宙科技基金,王仲良
中國信託 ESG 碳商機多重資產基金,羅世明
合庫全球核心基礎建設收益基金,張仲平
貝萊德環球動態趨勢多元資產組合基金,李珈蕙
富邦全球入息不動產與基礎建設ETF基金,蘇筱婷
永豐台灣優選入息存股ETF基金,沈裕鈜
台中銀台灣優息基金,廖采薇
富達永續全球股票收益基金,翁林瑋
第一金太空衛星ETF基金,曾萬勝
台新臺灣高股息基金,沈建宏
國泰全球數位支付服務ETF基金,楊庭杰
兆豐洲際半導體ETF基金,詹佳峯
玉山全球生態友善ESG多重資產基金,曾訓億
中國信託臺灣智慧50ETF基金,韓聖弘
聯邦民生基礎建設股票入息基金,黃耀德
元大全球優質龍頭平衡基金,江怡婷
兆豐特選台灣晶圓製造ETF基金,吳朋鴻
永豐ESG全球數位基礎建設基金,許書豪
富邦台美雙星多重資產基金,薛博升(核心經理人) 高晧欣(協管經理人，管理類別:1)
凱基台灣優選高股息30 ETF基金,李郁馨
國泰全球品牌50ETF基金,李翰林
台新美國策略時機非投資等級債券基金,張瑋芝
中國信託特選金融及數據ETF基金,張苡琤
大華銀台灣優選股利高填息30ETF基金,郭修誠
宏利數位基礎設施多重資產基金,鍾美君
群益台灣精選高息ETF基金,謝明志
凱基未來樂活多重資產基金,李怡勲
瑞銀全球永續組合基金,陳碩存
東方匯理先進醫療科技多重資產基金,張華宇
富邦全球ESG綠色電力ETF基金,洪珮甄
國泰美國優質債券基金,鄭易芸
元大0至2年投資級企業債券基金,陳慕忻
元大2至10年投資級企業債券基金,陳熙文
元大10年以上投資級企業債券基金,陳熙文
施羅德全週期動態多元資產組合基金,陳雅真
柏瑞ESG減碳全球股票基金,方定宇
兆豐新加坡交易所房地產收益基金,林祖延
華南永昌台灣環境永續高股息指數基金,蔣松原
群益智慧聯網電動車基金,洪玉婷
中國信託ESG金融收益多重資產基金,李盈樺
大華銀六年期美元保本基金,謝奕騰
聯博四年到期全球美元債券基金,陳莉莉
野村環球時機多重資產基金,高君逸
兆豐台灣產業龍頭存股等權重ETF基金,吳朋鴻
國泰四年到期成熟市場投資等級債券基金,吳艷琴
群益台灣ESG低碳50ETF基金,邱郁茹
國泰台灣領袖 50 ETF 基金,蘇鼎宇
台新全球多重資產基金,謝夢蘭
復華美國標普500成長ETF基金,吳允翔
匯豐全球基礎建設收益基金,魏筱倫
富蘭克林華美全球基礎建設收益基金,楊佩諭
兆豐日本優勢多重資產基金,楊寳杉
柏瑞利率對策多重資產基金,連伯瑋
永豐全球基礎建設及公用事業投資等級債券基金,陳雅筑
凱基全球菁英55 ETF基金,李郁馨
群益台灣半導體收益ETF基金,謝明志
中國信託上櫃ESG 30 ETF基金,張圭慧
復華台灣科技優息ETF基金,許忠成
華南永昌全球投資等級債券基金,黃威凱
元大多多基金,鄧凱元
統一黑馬基金,尤文毅
富邦精準基金,王俊穎
瀚亞高科技基金,劉家宏
摩根新興日本基金,蓋欣聖
富邦長紅基金,張珈維
摩根新興科技基金,葉鴻儒
瀚亞外銷基金,姚宗宏
統一龍馬基金,莊承憲
玉山金滿意基金,郭明玉
統一強棒貨幣市場基金,陳勇徵
元大得利貨幣市場基金,黃秀燕
匯豐龍騰電子基金,趙御雲
景順潛力基金,鄭宗豪
摩根亞洲基金,魏伯宇
野村貨幣市場基金,郭臻臻
景順貨幣市場基金,曾任平
元大卓越基金,李振南
群益中小型股基金,周立民
玉山亞太基金,曾訓億
野村策略轉機多重資產基金,黃奕捷
台新四年到期美國投資等級債券基金,蘇倚萱
元大日本龍頭企業基金,林宗賢(核心經理人) 林鈺棠(協管經理人，管理類別:1)
聯邦臺灣精選收益多重資產基金,林建良
凱基實質收息多重資產基金,馬承皓
東方匯理創新趨勢多重資產基金,張華宇
永豐台灣ESG低碳高息40ETF基金,王茗冠
統一彭博美國20年期以上公債ETF基金,許雅惠
兆豐收益增長多重資產基金,高銘輝
中國信託成長轉機多重資產基金,楊士醇
統一台灣高息優選基金,陳釧瑤
兆豐台灣ESG永續高股息等權重 ETF 基金,林佳穎
柏瑞科技多重資產基金,邱紹驊
大華銀全球短年期投資等級債券基金,謝奕騰
台新靈活入息債券基金,尹晟龢
群益優化收益成長多重資產基金,蔡詠裕
國泰10年以上投資級金融債券ETF基金,鄭凱允
永豐四年到期美國優質投資等級債券基金,吳如玉
中國信託臺灣優選成長高股息ETF基金,張圭慧
台新臺灣永續高息中小型ETF基金,黃鈺民
華南永昌未來科技基金,張瀚宇
兆豐全球債券ETF策略收益組合基金,張嘉祐
復華三至八年機動到期A級債券美元基金,李彥陞
復華三至八年機動到期A級債券台幣基金,吳宜潔
野村臺灣創新科技50ETF基金,林怡君
東方匯理全球淨零碳排企業債券基金,劉佳雨
第一金全球永續影響力投資多重資產基金,王宇
群益ESG 20年期以上BBB投資等級公司債ETF基金,曾盈甄
富蘭克林華美優選非投資等級債券基金,余冠廷
凱基台灣優選30 ETF基金,李郁馨
路博邁ESG優選平衡基金,王昱如、鄭吉良(協管經理人，管理類別:2)
東方匯理CIO精選收益基金,曾咨瑋
元大台灣高股息低波動ETF連結基金,張明珠
元大臺灣ESG永續ETF連結基金,邱鉦淵
統一台灣高息動能ETF基金,林良一
群益時機對策非投資等級債券基金,李運婷
元大臺灣價值高息ETF基金,邱鉦淵
中國信託上游半導體ETF基金,葉松炫
台新美國20年期以上A級公司債券ETF基金,王惜安
兆豐台灣電子成長高息等權重ETF基金,吳朋鴻
復華台灣科技高股息基金,戎宜蘋
野村臺灣趨勢動能高股息ETF基金,林怡君
富邦全球關鍵半導體基金,王威傑
凱基美國優選收益非投資等級債券ETF基金,王韻茹
群益台灣科技高息成長ETF基金,洪祥益
永豐創新醫療多重資產基金,陳世杰
台新臺灣IC設計動能ETF基金,黃鈺民
聯邦美國優選投資等級債券基金,余政民
中國信託高評級策略收益債券基金,房旼
中國信託15年期以上已開發市場投資級優化收益ESG美元公司債券ETF基金 (本子基金,張瓈尹
匯豐超核心多重資產基金,楊博翔
復華日本護城河優勢龍頭企業ETF基金,劉昌祚
野村全球高股息基金,劉佳奇
富邦新台商基金,謝尚瑾
華南永昌鳳翔貨幣市場基金,鄭鼎芝
台中銀大發基金,王欣群
統一中小基金,莊承憲
玉山貨幣市場基金,鄭宇君
群益安穩貨幣市場基金,呂鴻德
富邦吉祥貨幣市場基金,楊珮汝
群益馬拉松基金,陳沅易
台新吉星貨幣市場基金,蘇倚萱
玉山店頭市場基金,郭明玉
瀚亞菁華基金,葉彥廷
摩根第一貨幣市場基金,郭世宗
景順全球科技基金,蕭若梅
聯博大利基金,郭又語
摩根龍揚基金,吳昱聰
聯邦金鑽平衡基金,林建良
玉山全球中小基金,王翔慧
元大台灣卓越50基金,陳重銓
復華全球平衡基金,胡家菱
摩根全球平衡基金,郭世宗(核心經理人) 黃銘功(協管經理人，管理類別:1)
元大台灣加權股價指數基金,曾逸江
柏瑞旗艦全球平衡組合基金,方奕翔
第一金中概平衡基金,鄭國華
野村鑫平衡組合基金,李雅婷
復華神盾基金,趙建彰
德銀遠東DWS全球原物料能源基金,劉坤儒
瀚亞股債入息組合基金,鄭夙希
元大全球ETF穩健組合基金,曾妙蓮
野村台灣高股息基金,姜柏全
安聯全球新興市場基金,林孟洼
復華奧林匹克全球組合基金,王品昕
富邦全球不動產基金,朱家玄
富達卓越領航全球組合基金,陳晞倫
