基金名稱,名次,券商,總手續費,總手續費占比,交易金額,股票手續費,平均手續費率,投信,主基金名稱
兆豐萬全基金,1,兆豐證券,118350,21.41%,118173015,118350,0.10%,兆豐投信,兆豐萬全基金
兆豐萬全基金,2,國泰綜合證券,80443,14.55%,80306918,80443,0.10%,兆豐投信,兆豐萬全基金
兆豐萬全基金,3,第一金證券,72569,13.13%,72438991,72569,0.10%,兆豐投信,兆豐萬全基金
兆豐萬全基金,4,永豐金證券,70460,12.75%,70502813,70460,0.10%,兆豐投信,兆豐萬全基金
兆豐萬全基金,5,凱基證券,51529,9.32%,51442529,51529,0.10%,兆豐投信,兆豐萬全基金
兆豐全球基金,1,凱基證券,735022,20.93%,731939302,735022,0.10%,兆豐投信,兆豐全球基金
兆豐全球基金,2,永豐金證券,560396,15.96%,463271070,560396,0.12%,兆豐投信,兆豐全球基金
兆豐全球基金,3,群益金鼎證券,585774,16.68%,390510113,585774,0.15%,兆豐投信,兆豐全球基金
兆豐全球基金,4,CT,248209,7.07%,278210774,248209,0.09%,兆豐投信,兆豐全球基金
兆豐全球基金,5,DAIWA,523407,14.91%,261669685,523407,0.20%,兆豐投信,兆豐全球基金
兆豐國民基金 ((基金之配息來源可能為收益平準金)),1,統一綜合證券,508337,15.40%,507814850,508337,0.10%,兆豐投信,兆豐國民基金
兆豐國民基金 ((基金之配息來源可能為收益平準金)),2,兆豐證券,396710,12.02%,395987512,396710,0.10%,兆豐投信,兆豐國民基金
兆豐國民基金 ((基金之配息來源可能為收益平準金)),3,彰化商業銀行,366797,11.11%,366149009,366797,0.10%,兆豐投信,兆豐國民基金
兆豐國民基金 ((基金之配息來源可能為收益平準金)),4,富邦證券,364543,11.04%,363855759,364543,0.10%,兆豐投信,兆豐國民基金
兆豐國民基金 ((基金之配息來源可能為收益平準金)),5,群益金鼎證券,241020,7.30%,240776380,241020,0.10%,兆豐投信,兆豐國民基金
兆豐豐台灣基金,1,統一綜合證券,731940,17.35%,731396296,731940,0.10%,兆豐投信,兆豐豐台灣基金
兆豐豐台灣基金,2,兆豐證券,619859,14.70%,619214392,619859,0.10%,兆豐投信,兆豐豐台灣基金
兆豐豐台灣基金,3,群益金鼎證券,566100,13.42%,564843076,566100,0.10%,兆豐投信,兆豐豐台灣基金
兆豐豐台灣基金,4,國泰綜合證券,548706,13.01%,547990268,548706,0.10%,兆豐投信,兆豐豐台灣基金
兆豐豐台灣基金,5,永豐金證券,374967,8.89%,374597734,374967,0.10%,兆豐投信,兆豐豐台灣基金
兆豐生命科學基金,1,凱基證券,16883,20.97%,16864832,16883,0.10%,兆豐投信,兆豐生命科學基金
兆豐生命科學基金,2,永豐金證券,15966,19.83%,13301507,15966,0.12%,兆豐投信,兆豐生命科學基金
兆豐生命科學基金,3,YC2,10833,13.46%,10834180,10833,0.10%,兆豐投信,兆豐生命科學基金
兆豐生命科學基金,4,TY2,11623,14.44%,9674332,11623,0.12%,兆豐投信,兆豐生命科學基金
兆豐生命科學基金,5,富邦證券,12710,15.79%,8470831,12710,0.15%,兆豐投信,兆豐生命科學基金
兆豐中國A股基金,1,凱基證券,1023194,29.86%,1022283914,1023194,0.10%,兆豐投信,兆豐中國A股基金
兆豐中國A股基金,2,元大證券,683998,19.96%,683818275,683998,0.10%,兆豐投信,兆豐中國A股基金
兆豐中國A股基金,3,群益金鼎證券,424707,12.39%,424767198,424707,0.10%,兆豐投信,兆豐中國A股基金
兆豐中國A股基金,4,CITIC,236470,6.90%,236096807,236470,0.10%,兆豐投信,兆豐中國A股基金
兆豐中國A股基金,5,國泰綜合證券,213863,6.24%,213770747,213863,0.10%,兆豐投信,兆豐中國A股基金
兆豐臺灣藍籌30ETF基金,1,兆豐證券,328854,17.53%,327542051,328854,0.10%,兆豐投信,兆豐臺灣藍籌30ETF基金
兆豐臺灣藍籌30ETF基金,2,群益金鼎證券,316239,16.85%,316375092,316239,0.10%,兆豐投信,兆豐臺灣藍籌30ETF基金
兆豐臺灣藍籌30ETF基金,3,永豐金證券,179828,9.58%,180119821,179828,0.10%,兆豐投信,兆豐臺灣藍籌30ETF基金
兆豐臺灣藍籌30ETF基金,4,合作金庫證券,169820,9.05%,169460040,169820,0.10%,兆豐投信,兆豐臺灣藍籌30ETF基金
兆豐臺灣藍籌30ETF基金,5,元大證券,163828,8.73%,163666588,163828,0.10%,兆豐投信,兆豐臺灣藍籌30ETF基金
兆豐電子基金,1,兆豐證券,572515,13.48%,571931907,572515,0.10%,兆豐投信,兆豐電子基金
兆豐電子基金,2,中信證券,477576,11.24%,476932648,477576,0.10%,兆豐投信,兆豐電子基金
兆豐電子基金,3,玉山綜合證券,462695,10.89%,462548179,462695,0.10%,兆豐投信,兆豐電子基金
兆豐電子基金,4,群益金鼎證券,413934,9.74%,413730578,413934,0.10%,兆豐投信,兆豐電子基金
兆豐電子基金,5,國泰綜合證券,375427,8.84%,374711016,375427,0.10%,兆豐投信,兆豐電子基金
兆豐中國內需A股基金,1,凱基證券,1292295,28.16%,1291875158,1292295,0.10%,兆豐投信,兆豐中國內需A股基金
兆豐中國內需A股基金,2,永豐金證券,1187799,25.88%,1187488578,1187799,0.10%,兆豐投信,兆豐中國內需A股基金
兆豐中國內需A股基金,3,群益金鼎證券,685418,14.93%,685222382,685418,0.10%,兆豐投信,兆豐中國內需A股基金
兆豐中國內需A股基金,4,元大證券,428132,9.33%,427895525,428132,0.10%,兆豐投信,兆豐中國內需A股基金
兆豐中國內需A股基金,5,TFI,329768,7.19%,329543968,329768,0.10%,兆豐投信,兆豐中國內需A股基金
兆豐台灣先進通訊基金,1,兆豐證券,289103,17.00%,288830073,289103,0.10%,兆豐投信,兆豐台灣先進通訊基金
兆豐台灣先進通訊基金,2,新光證券,219680,12.92%,219359859,219680,0.10%,兆豐投信,兆豐台灣先進通訊基金
兆豐台灣先進通訊基金,3,中信證券,206224,12.13%,205945241,206224,0.10%,兆豐投信,兆豐台灣先進通訊基金
