基金名稱,名次,券商,總手續費,總手續費占比,交易金額,股票手續費,平均手續費率,投信,主基金名稱
瀚亞2030目標日期收益優化多重資產基金 (本基金配息來源可能為本金),4,MERRILL LYNCH INTERNATIONAL,4062,26.52%,0,0,0.00%,瀚亞投信,瀚亞2030目標日期收益優化多重資產基金
瀚亞2030目標日期收益優化多重資產基金 (本基金配息來源可能為本金),5,SMBC NIKKO SECURITIES (SINGAPORE)PTE LTD,0,0.00%,0,0,0.00%,瀚亞投信,瀚亞2030目標日期收益優化多重資產基金
瀚亞中小型股基金,1,JPMORGAN CHASE & CO. NEW YORK,885383,12.00%,885451685,885383,0.10%,瀚亞投信,瀚亞中小型股基金
瀚亞中小型股基金,2,GOLDMAN SACHS INTERNATIONAL,795248,10.78%,795249300,795248,0.10%,瀚亞投信,瀚亞中小型股基金
瀚亞中小型股基金,3,PRESIDENT SECURITIES CORPORATION,765387,10.37%,765484500,765387,0.10%,瀚亞投信,瀚亞中小型股基金
瀚亞中小型股基金,4,CL SECURITIES TAIWAN COMPANY LIMITE,718140,9.73%,718138240,718140,0.10%,瀚亞投信,瀚亞中小型股基金
瀚亞中小型股基金,5,兆豐證券,695374,9.42%,695459700,695374,0.10%,瀚亞投信,瀚亞中小型股基金
瀚亞2031目標日期收益成長多重資產基金 (本基金配息來源可能為本金),1,瀚亞證券投資信託股份有限公司,0,0.00%,0,0,0.00%,瀚亞投信,瀚亞2031目標日期收益成長多重資產基金
瀚亞2031目標日期收益成長多重資產基金 (本基金配息來源可能為本金),2,The Hongkong and Shanghai Banking Corpor,0,0.00%,0,0,0.00%,瀚亞投信,瀚亞2031目標日期收益成長多重資產基金
瀚亞2031目標日期收益成長多重資產基金 (本基金配息來源可能為本金),3,台灣摩根士丹利證券,6070,66.60%,0,0,0.00%,瀚亞投信,瀚亞2031目標日期收益成長多重資產基金
瀚亞2031目標日期收益成長多重資產基金 (本基金配息來源可能為本金),4,TORONTO DOMINION BK LDN,0,0.00%,0,0,0.00%,瀚亞投信,瀚亞2031目標日期收益成長多重資產基金
瀚亞2031目標日期收益成長多重資產基金 (本基金配息來源可能為本金),5,MERRILL LYNCH INTERNATIONAL,3044,33.40%,0,0,0.00%,瀚亞投信,瀚亞2031目標日期收益成長多重資產基金
瀚亞高科技基金,1,台灣摩根士丹利證券,769785,16.34%,769784455,769785,0.10%,瀚亞投信,瀚亞高科技基金
瀚亞高科技基金,2,CL SECURITIES TAIWAN COMPANY LIMITE,593394,12.60%,593393500,593394,0.10%,瀚亞投信,瀚亞高科技基金
瀚亞高科技基金,3,GOLDMAN SACHS INTERNATIONAL,507841,10.78%,507841360,507841,0.10%,瀚亞投信,瀚亞高科技基金
瀚亞高科技基金,4,康和綜合證券,439808,9.34%,439835700,439808,0.10%,瀚亞投信,瀚亞高科技基金
瀚亞高科技基金,5,富邦證券,407582,8.65%,407670000,407582,0.10%,瀚亞投信,瀚亞高科技基金
瀚亞外銷基金,1,CL SECURITIES TAIWAN COMPANY LIMITE,3146141,12.93%,3146139959,3146141,0.10%,瀚亞投信,瀚亞外銷基金
瀚亞外銷基金,2,台灣摩根士丹利證券,2820851,11.59%,2820848910,2820851,0.10%,瀚亞投信,瀚亞外銷基金
瀚亞外銷基金,3,GOLDMAN SACHS INTERNATIONAL,2244472,9.22%,2244474500,2244472,0.10%,瀚亞投信,瀚亞外銷基金
瀚亞外銷基金,4,富邦證券,2226850,9.15%,2227256000,2226850,0.10%,瀚亞投信,瀚亞外銷基金
瀚亞外銷基金,5,PRESIDENT SECURITIES CORPORATION,2165475,8.90%,2165579500,2165475,0.10%,瀚亞投信,瀚亞外銷基金
瀚亞菁華基金,1,元大證券,1422132,15.44%,1422347000,1422132,0.10%,瀚亞投信,瀚亞菁華基金
瀚亞菁華基金,2,Cathay,983282,10.68%,983281000,983282,0.10%,瀚亞投信,瀚亞菁華基金
瀚亞菁華基金,3,JPMORGAN CHASE & CO. NEW YORK,965128,10.48%,965142920,965128,0.10%,瀚亞投信,瀚亞菁華基金
瀚亞菁華基金,4,群益金鼎證券,849754,9.23%,849790000,849754,0.10%,瀚亞投信,瀚亞菁華基金
瀚亞菁華基金,5,凱基證券,787148,8.55%,787166315,787148,0.10%,瀚亞投信,瀚亞菁華基金
玉山臺灣市值動能50 ETF 基金 (本基金之配息可能為收益平準金),1,元大證券,299922,8.56%,328591250,299922,0.09%,玉山投信,玉山臺灣市值動能50 ETF 基金
玉山臺灣市值動能50 ETF 基金 (本基金之配息可能為收益平準金),2,玉山綜合證券,293846,8.38%,326527900,293846,0.09%,玉山投信,玉山臺灣市值動能50 ETF 基金
玉山臺灣市值動能50 ETF 基金 (本基金之配息可能為收益平準金),3,凱基證券,286997,8.19%,318907300,286997,0.09%,玉山投信,玉山臺灣市值動能50 ETF 基金
玉山臺灣市值動能50 ETF 基金 (本基金之配息可能為收益平準金),4,富邦證券,285010,8.13%,311484790,285010,0.09%,玉山投信,玉山臺灣市值動能50 ETF 基金
玉山臺灣市值動能50 ETF 基金 (本基金之配息可能為收益平準金),5,華南永昌綜合證券,281685,8.04%,307136700,281685,0.09%,玉山投信,玉山臺灣市值動能50 ETF 基金
玉山全球跨國藍籌100ETF基金 (本基金之配息來源可能為收益平準金),1,國泰綜合證券,49308,28.56%,39581513,49308,0.12%,玉山投信,玉山全球跨國藍籌100ETF基金
玉山全球跨國藍籌100ETF基金 (本基金之配息來源可能為收益平準金),2,富邦證券,41076,23.79%,36714327,41076,0.11%,玉山投信,玉山全球跨國藍籌100ETF基金
玉山全球跨國藍籌100ETF基金 (本基金之配息來源可能為收益平準金),3,元大證券,30239,17.52%,33920594,30239,0.09%,玉山投信,玉山全球跨國藍籌100ETF基金
玉山全球跨國藍籌100ETF基金 (本基金之配息來源可能為收益平準金),4,永豐金證券,35186,20.38%,28393659,35186,0.12%,玉山投信,玉山全球跨國藍籌100ETF基金
玉山全球跨國藍籌100ETF基金 (本基金之配息來源可能為收益平準金),5,華南永昌綜合證券,23664,13.71%,23136185,23664,0.10%,玉山投信,玉山全球跨國藍籌100ETF基金
玉山美元嚴選非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),1,Jane Street Hong Kong Limited,0,0.00%,0,0,0.00%,玉山投信,玉山美元嚴選非投資等級債券ETF基金
玉山美元嚴選非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),2,國泰綜合證券,0,0.00%,0,0,0.00%,玉山投信,玉山美元嚴選非投資等級債券ETF基金
玉山美元嚴選非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),3,Jefferies,0,0.00%,0,0,0.00%,玉山投信,玉山美元嚴選非投資等級債券ETF基金
玉山美元嚴選非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),4,元大證券,0,0.00%,0,0,0.00%,玉山投信,玉山美元嚴選非投資等級債券ETF基金
玉山美元嚴選非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),5,永豐金證券,0,0.00%,0,0,0.00%,玉山投信,玉山美元嚴選非投資等級債券ETF基金
玉山未來全球算力ETF基金 (本基金之配息來源可能為收益平準金),1,玉山綜合證券,278582,40.76%,545620494,278582,0.05%,玉山投信,玉山未來全球算力ETF基金
玉山未來全球算力ETF基金 (本基金之配息來源可能為收益平準金),2,兆豐證券,480820,70.35%,336161914,480820,0.14%,玉山投信,玉山未來全球算力ETF基金
玉山未來全球算力ETF基金 (本基金之配息來源可能為收益平準金),3,群益金鼎證券,29783,4.36%,33093000,29783,0.09%,玉山投信,玉山未來全球算力ETF基金
玉山未來全球算力ETF基金 (本基金之配息來源可能為收益平準金),4,永豐金證券,12267,1.79%,10222835,12267,0.12%,玉山投信,玉山未來全球算力ETF基金
玉山未來全球算力ETF基金 (本基金之配息來源可能為收益平準金),5,nan,0,0.00%,0,0,0.00%,玉山投信,玉山未來全球算力ETF基金
玉山高成長基金,1,第一金證券,1483143,9.60%,1546463735,1483143,0.10%,玉山投信,玉山高成長基金
玉山高成長基金,2,凱基證券,1204981,7.80%,1339080241,1204981,0.09%,玉山投信,玉山高成長基金
玉山高成長基金,3,台新證券,1122832,7.27%,1247854055,1122832,0.09%,玉山投信,玉山高成長基金
玉山高成長基金,4,富邦證券,1158596,7.50%,1202041700,1158596,0.10%,玉山投信,玉山高成長基金
玉山高成長基金,5,玉山綜合證券,934753,6.05%,1038737506,934753,0.09%,玉山投信,玉山高成長基金
玉山全球消費商機基金,1,MERRILL LYNCH INTERNATIONAL,568895,46.90%,264245058,568895,0.22%,玉山投信,玉山全球消費商機基金
玉山全球消費商機基金,2,Morgan Stanley & Co.， LLC,248071,20.45%,244511222,248071,0.10%,玉山投信,玉山全球消費商機基金
玉山全球消費商機基金,3,Citigroup Global Market Limited,117306,9.67%,214226849,117306,0.05%,玉山投信,玉山全球消費商機基金
玉山全球消費商機基金,4,State Street (HK),211917,17.47%,214172261,211917,0.10%,玉山投信,玉山全球消費商機基金
玉山全球消費商機基金,5,INSTINET(HK),224323,18.49%,170607490,224323,0.13%,玉山投信,玉山全球消費商機基金
玉山全球醫療生化基金,1,Morgan Stanley & Co.， LLC,1566475,10.77%,3007993044,1566475,0.05%,玉山投信,玉山全球醫療生化基金
玉山全球醫療生化基金,2,INSTINET(HK),1432368,9.84%,2728971747,1432368,0.05%,玉山投信,玉山全球醫療生化基金
玉山全球醫療生化基金,3,JP MORGAN GROUP,1652323,11.36%,2693972450,1652323,0.06%,玉山投信,玉山全球醫療生化基金
玉山全球醫療生化基金,4,高盛集團,909034,6.25%,2512206945,909034,0.04%,玉山投信,玉山全球醫療生化基金
玉山全球醫療生化基金,5,元大證券,2422133,16.65%,2491895745,2422133,0.10%,玉山投信,玉山全球醫療生化基金
玉山新世紀基金,1,兆豐證券,227575,8.17%,236628328,227575,0.10%,玉山投信,玉山新世紀基金
玉山新世紀基金,2,統一綜合證券,221948,7.97%,228473370,221948,0.10%,玉山投信,玉山新世紀基金
玉山新世紀基金,3,元大證券,216211,7.76%,224886000,216211,0.10%,玉山投信,玉山新世紀基金
玉山新世紀基金,4,凱基證券,192675,6.92%,214193500,192675,0.09%,玉山投信,玉山新世紀基金
玉山新世紀基金,5,玉山綜合證券,184258,6.61%,204762800,184258,0.09%,玉山投信,玉山新世紀基金
玉山金平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),1,玉山綜合證券,210410,8.10%,233877566,210410,0.09%,玉山投信,玉山金平衡基金
玉山金平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),2,統一綜合證券,200015,7.70%,208891765,200015,0.10%,玉山投信,玉山金平衡基金
玉山金平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),3,永豐金證券,140695,5.42%,145330100,140695,0.10%,玉山投信,玉山金平衡基金
玉山金平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),4,富邦證券,176405,6.79%,181944400,176405,0.10%,玉山投信,玉山金平衡基金
玉山金平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),5,國票綜合證券,156447,6.02%,173868976,156447,0.09%,玉山投信,玉山金平衡基金
玉山拉丁美洲基金,1,MERRILL LYNCH INTERNATIONAL,328611,30.89%,130149052,328611,0.25%,玉山投信,玉山拉丁美洲基金
玉山拉丁美洲基金,2,Morgan Stanley & Co.， LLC,241269,22.68%,116076078,241269,0.21%,玉山投信,玉山拉丁美洲基金
玉山拉丁美洲基金,3,State Street (HK),177332,16.67%,95200890,177332,0.19%,玉山投信,玉山拉丁美洲基金
玉山拉丁美洲基金,4,Citigroup Global Market Limited,146467,13.77%,64852268,146467,0.23%,玉山投信,玉山拉丁美洲基金
玉山拉丁美洲基金,5,BTIG(HK),68837,6.47%,50019156,68837,0.14%,玉山投信,玉山拉丁美洲基金
玉山中國品牌基金,1,中信證券,2011363,25.78%,1424119561,2011363,0.14%,玉山投信,玉山中國品牌基金
玉山中國品牌基金,2,國投證券（香港）有限公司,1802402,23.10%,1312920696,1802402,0.14%,玉山投信,玉山中國品牌基金
玉山中國品牌基金,3,富邦證券,1407152,18.04%,885695299,1407152,0.16%,玉山投信,玉山中國品牌基金
玉山中國品牌基金,4,TFI Securities,1050601,13.47%,764626408,1050601,0.14%,玉山投信,玉山中國品牌基金
玉山中國品牌基金,5,國泰君安證券,1032917,13.24%,741191231,1032917,0.14%,玉山投信,玉山中國品牌基金
玉山中國中小基金,1,中信證券,699242,20.37%,502196773,699242,0.14%,玉山投信,玉山中國中小基金
玉山中國中小基金,2,國投證券（香港）有限公司,506023,14.74%,369227013,506023,0.14%,玉山投信,玉山中國中小基金
玉山中國中小基金,3,國金證券,488384,14.23%,365697407,488384,0.13%,玉山投信,玉山中國中小基金
玉山中國中小基金,4,申萬宏源,534621,15.57%,348297540,534621,0.15%,玉山投信,玉山中國中小基金
玉山中國中小基金,5,中金公司,473004,13.78%,303688905,473004,0.16%,玉山投信,玉山中國中小基金
玉山中國好時平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),1,國泰綜合證券,0,0.00%,0,0,0.00%,玉山投信,玉山中國好時平衡基金
玉山中國好時平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),2,MIZUHO FINANCIAL GROUP,0,0.00%,0,0,0.00%,玉山投信,玉山中國好時平衡基金
玉山中國好時平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),3,富邦證券,72194,28.70%,54161481,72194,0.13%,玉山投信,玉山中國好時平衡基金
玉山中國好時平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),4,TFI Securities,63074,25.08%,44704014,63074,0.14%,玉山投信,玉山中國好時平衡基金
玉山中國好時平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),5,中信證券,63018,25.06%,41947793,63018,0.15%,玉山投信,玉山中國好時平衡基金
玉山全球資源基金,1,Morgan Stanley & Co.， LLC,600303,17.64%,602346339,600303,0.10%,玉山投信,玉山全球資源基金
玉山全球資源基金,2,State Street (HK),478540,14.06%,560599262,478540,0.09%,玉山投信,玉山全球資源基金
玉山全球資源基金,3,MERRILL LYNCH INTERNATIONAL,1218334,35.80%,549977196,1218334,0.22%,玉山投信,玉山全球資源基金
玉山全球資源基金,4,Citigroup Global Market Limited,367561,10.80%,439291211,367561,0.08%,玉山投信,玉山全球資源基金
玉山全球資源基金,5,富邦證券,611234,17.96%,348906497,611234,0.18%,玉山投信,玉山全球資源基金
玉山全球基礎建設基金,1,State Street (HK),192260,29.11%,122912603,192260,0.16%,玉山投信,玉山全球基礎建設基金
玉山全球基礎建設基金,2,MERRILL LYNCH INTERNATIONAL,334400,50.64%,110518627,334400,0.30%,玉山投信,玉山全球基礎建設基金
玉山全球基礎建設基金,3,JP MORGAN GROUP,83429,12.63%,92714596,83429,0.09%,玉山投信,玉山全球基礎建設基金
玉山全球基礎建設基金,4,Citigroup Global Market Limited,56309,8.53%,91454855,56309,0.06%,玉山投信,玉山全球基礎建設基金
玉山全球基礎建設基金,5,INSTINET(HK),98744,14.95%,82283696,98744,0.12%,玉山投信,玉山全球基礎建設基金
玉山科技島基金,1,第一金證券,1164062,11.91%,1210954669,1164062,0.10%,玉山投信,玉山科技島基金
玉山科技島基金,2,凱基證券,701289,7.18%,779625340,701289,0.09%,玉山投信,玉山科技島基金
玉山科技島基金,3,群益金鼎證券,681731,6.98%,757819525,681731,0.09%,玉山投信,玉山科技島基金
玉山科技島基金,4,玉山綜合證券,658698,6.74%,732098199,658698,0.09%,玉山投信,玉山科技島基金
玉山科技島基金,5,富邦證券,658624,6.74%,692039033,658624,0.10%,玉山投信,玉山科技島基金
玉山大中華基金,1,中信證券,1008129,27.96%,608578022,1008129,0.17%,玉山投信,玉山大中華基金
玉山大中華基金,2,元大證券,558186,15.48%,552302011,558186,0.10%,玉山投信,玉山大中華基金
玉山大中華基金,3,國投證券（香港）有限公司,781665,21.68%,459481841,781665,0.17%,玉山投信,玉山大中華基金
玉山大中華基金,4,國泰綜合證券,607770,16.86%,376321478,607770,0.16%,玉山投信,玉山大中華基金
玉山大中華基金,5,申萬宏源,573971,15.92%,375010819,573971,0.15%,玉山投信,玉山大中華基金
玉山中小型股基金,1,玉山綜合證券,1044705,7.78%,1161146128,1044705,0.09%,玉山投信,玉山中小型股基金
玉山中小型股基金,2,凱基證券,1013552,7.55%,1126409630,1013552,0.09%,玉山投信,玉山中小型股基金
玉山中小型股基金,3,統一綜合證券,995156,7.42%,1061176389,995156,0.09%,玉山投信,玉山中小型股基金
玉山中小型股基金,4,富邦證券,946422,7.05%,999896691,946422,0.09%,玉山投信,玉山中小型股基金
玉山中小型股基金,5,元大證券,929644,6.93%,986294225,929644,0.09%,玉山投信,玉山中小型股基金
玉山全球新供應鏈基金 (本基金之配息來源可能為本金),1,State Street (HK),74455,20.88%,116836172,74455,0.06%,玉山投信,玉山全球新供應鏈基金
玉山全球新供應鏈基金 (本基金之配息來源可能為本金),2,INSTINET(HK),71132,19.95%,100810983,71132,0.07%,玉山投信,玉山全球新供應鏈基金
玉山全球新供應鏈基金 (本基金之配息來源可能為本金),3,Morgan Stanley & Co.， LLC,79596,22.32%,95374265,79596,0.08%,玉山投信,玉山全球新供應鏈基金
玉山全球新供應鏈基金 (本基金之配息來源可能為本金),4,高盛集團,36382,10.20%,82410444,36382,0.04%,玉山投信,玉山全球新供應鏈基金
玉山全球新供應鏈基金 (本基金之配息來源可能為本金),5,JP MORGAN GROUP,24298,6.81%,39722127,24298,0.06%,玉山投信,玉山全球新供應鏈基金
玉山全球生態友善ESG多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),1,JP MORGAN GROUP,261234,17.96%,313029421,261234,0.08%,玉山投信,玉山全球生態友善ESG多重資產基金
玉山全球生態友善ESG多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),2,MERRILL LYNCH INTERNATIONAL,616668,42.40%,298060490,616668,0.21%,玉山投信,玉山全球生態友善ESG多重資產基金
玉山全球生態友善ESG多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),3,INSTINET(HK),269320,18.52%,228590945,269320,0.12%,玉山投信,玉山全球生態友善ESG多重資產基金
玉山全球生態友善ESG多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),4,Citigroup Global Market Limited,187847,12.92%,214692943,187847,0.09%,玉山投信,玉山全球生態友善ESG多重資產基金
玉山全球生態友善ESG多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),5,BTIG(HK),145050,9.97%,112691218,145050,0.13%,玉山投信,玉山全球生態友善ESG多重資產基金
玉山金滿意基金,1,富邦證券,911378,9.11%,937099847,911378,0.10%,玉山投信,玉山金滿意基金
玉山金滿意基金,2,凱基證券,752933,7.52%,836825189,752933,0.09%,玉山投信,玉山金滿意基金
玉山金滿意基金,3,群益金鼎證券,743482,7.43%,826448305,743482,0.09%,玉山投信,玉山金滿意基金
玉山金滿意基金,4,元大證券,722503,7.22%,740381485,722503,0.10%,玉山投信,玉山金滿意基金
玉山金滿意基金,5,統一綜合證券,701475,7.01%,715541840,701475,0.10%,玉山投信,玉山金滿意基金
玉山亞太基金,1,元大證券,191779,14.39%,196206445,191779,0.10%,玉山投信,玉山亞太基金
玉山亞太基金,2,國泰綜合證券,402337,30.19%,174069461,402337,0.23%,玉山投信,玉山亞太基金
玉山亞太基金,3,INSTINET(HK),637030,47.79%,145903507,637030,0.44%,玉山投信,玉山亞太基金
玉山亞太基金,4,國投證券（香港）有限公司,213416,16.01%,128804000,213416,0.17%,玉山投信,玉山亞太基金
玉山亞太基金,5,玉山綜合證券,92683,6.95%,103114850,92683,0.09%,玉山投信,玉山亞太基金
玉山店頭市場基金,1,元大證券,114139,8.73%,117013550,114139,0.10%,玉山投信,玉山店頭市場基金
玉山店頭市場基金,2,統一綜合證券,112791,8.63%,115030481,112791,0.10%,玉山投信,玉山店頭市場基金
玉山店頭市場基金,3,國票綜合證券,90405,6.92%,100512083,90405,0.09%,玉山投信,玉山店頭市場基金
玉山店頭市場基金,4,凱基證券,87498,6.70%,97256830,87498,0.09%,玉山投信,玉山店頭市場基金
玉山店頭市場基金,5,華南永昌綜合證券,92283,7.06%,95525948,92283,0.10%,玉山投信,玉山店頭市場基金
玉山全球中小基金,1,MERRILL LYNCH INTERNATIONAL,439199,39.89%,193044255,439199,0.23%,玉山投信,玉山全球中小基金
玉山全球中小基金,2,Morgan Stanley & Co.， LLC,143367,13.02%,169869501,143367,0.08%,玉山投信,玉山全球中小基金
玉山全球中小基金,3,Citigroup Global Market Limited,69456,6.31%,127494211,69456,0.05%,玉山投信,玉山全球中小基金
玉山全球中小基金,4,永豐金證券,143808,13.06%,107919856,143808,0.13%,玉山投信,玉山全球中小基金
玉山全球中小基金,5,INSTINET(HK),160644,14.59%,103612640,160644,0.16%,玉山投信,玉山全球中小基金
統一全球15年以上BBB優選ESG公司債ETF基金 (基金之配息來源可能為收益平準金),1,Jane Street Group-HK,0,0.00%,862539460,0,0.00%,統一投信,統一全球15年以上BBB優選ESG公司債ETF基金
統一全球15年以上BBB優選ESG公司債ETF基金 (基金之配息來源可能為收益平準金),2,Susquehanna International,0,0.00%,535777711,0,0.00%,統一投信,統一全球15年以上BBB優選ESG公司債ETF基金
統一全球15年以上BBB優選ESG公司債ETF基金 (基金之配息來源可能為收益平準金),3,JP Morgan,0,0.00%,116846284,0,0.00%,統一投信,統一全球15年以上BBB優選ESG公司債ETF基金
統一全球15年以上BBB優選ESG公司債ETF基金 (基金之配息來源可能為收益平準金),4,nan,0,0.00%,0,0,0.00%,統一投信,統一全球15年以上BBB優選ESG公司債ETF基金
統一全球15年以上BBB優選ESG公司債ETF基金 (基金之配息來源可能為收益平準金),5,nan,0,0.00%,0,0,0.00%,統一投信,統一全球15年以上BBB優選ESG公司債ETF基金
統一優選低波多重資產基金 (基金之配息來源可能為本金及收益平準金),1,統一綜合證券,605445,20.10%,605766938,605445,0.10%,統一投信,統一優選低波多重資產基金
統一優選低波多重資產基金 (基金之配息來源可能為本金及收益平準金),2,凱基證券,315339,10.47%,315693900,315339,0.10%,統一投信,統一優選低波多重資產基金
統一優選低波多重資產基金 (基金之配息來源可能為本金及收益平準金),3,國泰綜合證券,281696,9.35%,281707500,281696,0.10%,統一投信,統一優選低波多重資產基金
統一優選低波多重資產基金 (基金之配息來源可能為本金及收益平準金),4,兆豐證券,252693,8.39%,252721250,252693,0.10%,統一投信,統一優選低波多重資產基金
統一優選低波多重資產基金 (基金之配息來源可能為本金及收益平準金),5,富邦證券,248573,8.25%,249280100,248573,0.10%,統一投信,統一優選低波多重資產基金
統一台股增長主動式ETF基金 (基金之配息來源可能為收益平準金),1,統一綜合證券,125839202,30.15%,125845594970,125839202,0.10%,統一投信,統一台股增長主動式ETF基金
統一台股增長主動式ETF基金 (基金之配息來源可能為收益平準金),2,元大證券,65431897,15.68%,65434480560,65431897,0.10%,統一投信,統一台股增長主動式ETF基金
統一台股增長主動式ETF基金 (基金之配息來源可能為收益平準金),3,凱基證券,42522176,10.19%,42523232500,42522176,0.10%,統一投信,統一台股增長主動式ETF基金
統一台股增長主動式ETF基金 (基金之配息來源可能為收益平準金),4,永豐金證券,33170408,7.95%,33172770944,33170408,0.10%,統一投信,統一台股增長主動式ETF基金
統一台股增長主動式ETF基金 (基金之配息來源可能為收益平準金),5,富邦證券,32935689,7.89%,32937131350,32935689,0.10%,統一投信,統一台股增長主動式ETF基金
統一美國50ETF 基金 (基金之配息來源可能為收益平準金),1,統一綜合證券,1099671,47.85%,1374592979,1099671,0.08%,統一投信,統一美國50ETF 基金
統一美國50ETF 基金 (基金之配息來源可能為收益平準金),2,元大證券,331655,14.43%,414565526,331655,0.08%,統一投信,統一美國50ETF 基金
統一美國50ETF 基金 (基金之配息來源可能為收益平準金),3,富邦證券,318742,13.87%,398423690,318742,0.08%,統一投信,統一美國50ETF 基金
統一美國50ETF 基金 (基金之配息來源可能為收益平準金),4,凱基證券,229224,9.97%,286531993,229224,0.08%,統一投信,統一美國50ETF 基金
統一美國50ETF 基金 (基金之配息來源可能為收益平準金),5,永豐金證券,216925,9.44%,271157541,216925,0.08%,統一投信,統一美國50ETF 基金
統一全球創新主動式ETF基金 (基金之配息來源可能為收益平準金),1,統一綜合證券,66691684,29.52%,51982210328,64417094,0.12%,統一投信,統一全球創新主動式ETF基金
統一全球創新主動式ETF基金 (基金之配息來源可能為收益平準金),2,永豐金證券,34125490,15.11%,24743728372,33181195,0.13%,統一投信,統一全球創新主動式ETF基金
統一全球創新主動式ETF基金 (基金之配息來源可能為收益平準金),3,富邦證券,29725925,13.16%,22719763786,28195012,0.12%,統一投信,統一全球創新主動式ETF基金
統一全球創新主動式ETF基金 (基金之配息來源可能為收益平準金),4,華南永昌綜合證券,30006516,13.28%,22061949964,29065032,0.13%,統一投信,統一全球創新主動式ETF基金
統一全球創新主動式ETF基金 (基金之配息來源可能為收益平準金),5,元大證券,24923000,11.03%,21655816228,24653424,0.11%,統一投信,統一全球創新主動式ETF基金
統一台股升級50主動式ETF基金 (基金之配息來源可能為收益平準金),1,統一綜合證券,91932620,29.52%,91936121100,91932620,0.10%,統一投信,統一台股升級50主動式ETF基金
統一台股升級50主動式ETF基金 (基金之配息來源可能為收益平準金),2,元大證券,44279733,14.22%,44281327900,44279733,0.10%,統一投信,統一台股升級50主動式ETF基金
統一台股升級50主動式ETF基金 (基金之配息來源可能為收益平準金),3,凱基證券,41984623,13.48%,41986015800,41984623,0.10%,統一投信,統一台股升級50主動式ETF基金
統一台股升級50主動式ETF基金 (基金之配息來源可能為收益平準金),4,群益金鼎證券,26590898,8.54%,26593298500,26590898,0.10%,統一投信,統一台股升級50主動式ETF基金
統一台股升級50主動式ETF基金 (基金之配息來源可能為收益平準金),5,富邦證券,26220099,8.42%,26222678600,26220099,0.10%,統一投信,統一台股升級50主動式ETF基金
統一股債傘型基金之統一美國公債量化增益主動式ETF基金 (基金之配息來源可能為收益平準金),1,JP Morgan,0,0.00%,359222563,0,0.00%,統一投信,統一股債傘型基金之統一美國公債量化增益主動式ETF基金
統一股債傘型基金之統一美國公債量化增益主動式ETF基金 (基金之配息來源可能為收益平準金),2,Jane Street Group-HK,0,0.00%,341350476,0,0.00%,統一投信,統一股債傘型基金之統一美國公債量化增益主動式ETF基金
統一股債傘型基金之統一美國公債量化增益主動式ETF基金 (基金之配息來源可能為收益平準金),3,元大證券,0,0.00%,243016129,0,0.00%,統一投信,統一股債傘型基金之統一美國公債量化增益主動式ETF基金
統一股債傘型基金之統一美國公債量化增益主動式ETF基金 (基金之配息來源可能為收益平準金),4,Susquehanna International,0,0.00%,93195746,0,0.00%,統一投信,統一股債傘型基金之統一美國公債量化增益主動式ETF基金
統一股債傘型基金之統一美國公債量化增益主動式ETF基金 (基金之配息來源可能為收益平準金),5,nan,0,0.00%,0,0,0.00%,統一投信,統一股債傘型基金之統一美國公債量化增益主動式ETF基金
統一股債傘型基金之統一前沿科技主動式ETF基金 (基金之配息來源可能為收益平準金),1,統一綜合證券,2206673,27.77%,1729513260,2206673,0.13%,統一投信,統一股債傘型基金之統一前沿科技主動式ETF基金
統一股債傘型基金之統一前沿科技主動式ETF基金 (基金之配息來源可能為收益平準金),2,元大證券,1113003,14.01%,1094667882,1113003,0.10%,統一投信,統一股債傘型基金之統一前沿科技主動式ETF基金
統一股債傘型基金之統一前沿科技主動式ETF基金 (基金之配息來源可能為收益平準金),3,國泰綜合證券,1030103,12.96%,997246754,1030103,0.10%,統一投信,統一股債傘型基金之統一前沿科技主動式ETF基金
