基金名稱,是複委託
元大10年期以上美元投資級銀行債券ETF基金,TRUE
元大10年期以上美元投資級醫療保健債券ETF基金,TRUE
元大10年期以上美元投資級公共事業電能債券ETF基金,TRUE
元大台灣高股息ETF連結基金 (本基金並無保證收益及配息),FALSE
元大台灣卓越50ETF連結基金,FALSE
元大富櫃50ETF連結基金,FALSE
元大臺灣ESG永續ETF基金 (本基金之配息來源可能為收益平準金),FALSE
元大全球未來通訊ETF基金,TRUE
元大15年期以上新興市場主權債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
元大台灣高股息優質龍頭基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大全球5G關鍵科技ETF基金,TRUE
元大高科技基金,FALSE
元大經貿基金,FALSE
元大全球優質龍頭平衡基金,TRUE
元大多多基金,FALSE
元大卓越基金,FALSE
元大日本龍頭企業基金,TRUE
元大台灣高股息低波動ETF連結基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大臺灣ESG永續ETF連結基金 (本基金之配息來源可能為收益平準金),FALSE
元大臺灣價值高息ETF基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大台灣卓越50基金,FALSE
元大台灣加權股價指數基金,FALSE
景順全球康健基金,TRUE
景順主流基金,FALSE
景順台灣科技基金,FALSE
景順潛力基金,FALSE
景順全球科技基金 (本基金配息來源可能為本金),TRUE
瀚亞亞洲科技資本家股票基金 (本基金配息來源可能為本金),TRUE
瀚亞環球智慧數據股息基金 (本基金配息來源可能為本金且基金並無保證收益及配息),TRUE
瀚亞非洲基金 (本基金之配息來源可能為本金),TRUE
瀚亞美國高科技基金,TRUE
瀚亞歐洲基金,TRUE
瀚亞理財通基金 (本基金配息來源可能為本金),FALSE
瀚亞印度基金 (本基金配息來源可能為本金),TRUE
瀚亞巴西基金,TRUE
瀚亞中國A股基金,TRUE
瀚亞亞太豐收平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
瀚亞策略印度傘型基金之印度策略收益平衡基金 (本子基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
瀚亞亞太高股息基金 (本基金配息來源可能為本金且基金並無保證收益及配息),TRUE
瀚亞亞太基礎建設基金,TRUE
瀚亞2030目標日期收益優化多重資產基金 (本基金配息來源可能為本金),TRUE
瀚亞中小型股基金,FALSE
瀚亞2031目標日期收益成長多重資產基金 (本基金配息來源可能為本金),TRUE
瀚亞高科技基金,FALSE
瀚亞外銷基金,FALSE
瀚亞菁華基金,FALSE
玉山臺灣市值動能50 ETF 基金 (本基金之配息可能為收益平準金),FALSE
玉山全球跨國藍籌100ETF基金 (本基金之配息來源可能為收益平準金),TRUE
玉山美元嚴選非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),TRUE
玉山高成長基金,FALSE
玉山全球消費商機基金,TRUE
玉山全球醫療生化基金,TRUE
玉山新世紀基金,FALSE
玉山金平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),FALSE
玉山拉丁美洲基金,TRUE
玉山中國品牌基金,TRUE
玉山中國中小基金,TRUE
玉山中國好時平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),TRUE
玉山全球資源基金,TRUE
玉山全球基礎建設基金,TRUE
玉山科技島基金,FALSE
玉山大中華基金,TRUE
玉山中小型股基金,FALSE
玉山全球新供應鏈基金 (本基金之配息來源可能為本金),TRUE
玉山全球生態友善ESG多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),TRUE
玉山金滿意基金,FALSE
玉山亞太基金,TRUE
玉山店頭市場基金,FALSE
玉山全球中小基金,TRUE
統一全球15年以上BBB優選ESG公司債ETF基金 (基金之配息來源可能為收益平準金),FALSE
統一優選低波多重資產基金 (基金之配息來源可能為本金及收益平準金),FALSE
統一台股增長主動式ETF基金 (基金之配息來源可能為收益平準金),FALSE
統一美國50ETF 基金 (基金之配息來源可能為收益平準金),TRUE
統一全球創新主動式ETF基金 (基金之配息來源可能為收益平準金),TRUE
